JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
AJB,2010,97,1,AE,Ruben Cuneo,Argentina,M,SE,
AJB,2011,98,1,AE,Ruben Cuneo,Argentina,M,SE,
AJB,2012,99,1,AE,Ruben Cuneo,Argentina,M,SE,
AJB,2013,100,1,AE,Ruben Cuneo,Argentina,M,SE,
AJB,2014,101,1,AE,Ruben Cuneo,Argentina,M,SE,
AJB,1995,82,1,AE,Nancy Dengler,Canada,F,SE,
AJB,1996,83,1,AE,Nancy Dengler,Canada,F,SE,
AJB,1997,84,1,AE,Nancy Dengler,Canada,F,SE,
AJB,1997,84,1,AE,Spencer Barrett,Canada,M,SE,
AJB,1998,85,1,AE,Nancy Dengler,Canada,F,SE,
AJB,1999,86,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2000,87,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2000,87,1,AE & Book Review Editor,Spencer Barrett,Canada,M,SE,BOOK
AJB,2001,88,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2001,88,1,AE & Book Review Editor,Spencer Barrett,Canada,M,SE,BOOK
AJB,2002,89,1,AE,Sean Thomas,Canada,M,SE,
AJB,2002,89,1,AE & Book Review Editor,Spencer Barrett,Canada,M,SE,BOOK
AJB,2002,89,1,AE,Lawrence Harder,Canada,M,SE,
AJB,2003,90,1,AE,Sean Thomas,Canada,M,SE,
AJB,2003,90,1,AE & Book Review Editor,Spencer Barrett,Canada,M,SE,BOOK
AJB,2003,90,1,AE,Lawrence Harder,Canada,M,SE,
AJB,2004,91,1,AE,Sean Thomas,Canada,M,SE,
AJB,2004,91,1,AE & Book Review Editor,Spencer Barrett,Canada,M,SE,BOOK
AJB,2004,91,1,AE,Lawrence Harder,Canada,M,SE,
AJB,2005,92,1,AE,Sean Thomas,Canada,M,SE,
AJB,2005,92,1,AE & Book Review Editor,Spencer Barrett,Canada,M,SE,BOOK
AJB,2005,92,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2006,93,1,AE,Sean Thomas,Canada,M,SE,
AJB,2006,93,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2006,93,1,AE,Christopher Eckert,Canada,M,SE,
AJB,2007,94,1,AE,Fred Sack,Canada,M,SE,
AJB,2007,94,1,AE,Sean Thomas,Canada,M,SE,
AJB,2007,94,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2007,94,1,AE,Christopher Eckert,Canada,M,SE,
AJB,2007,94,1,AE,Mary Berbee,Canada,F,SE,
AJB,2008,95,1,AE,Fred Sack,Canada,M,SE,
AJB,2008,95,1,AE,Sean Thomas,Canada,M,SE,
AJB,2008,95,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2008,95,1,AE,Christopher Eckert,Canada,M,SE,
AJB,2008,95,1,AE,Mary Berbee,Canada,F,SE,
AJB,2009,96,1,AE,Fred Sack,Canada,M,SE,
AJB,2009,96,1,AE,Sean Thomas,Canada,M,SE,
AJB,2009,96,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2009,96,1,AE,Christopher Eckert,Canada,M,SE,
AJB,2009,96,1,AE,Mary Berbee,Canada,F,SE,
AJB,2009,96,1,AE,Sean Graham,Canada,M,SE,
AJB,2010,97,1,AE,Fred Sack,Canada,M,SE,
AJB,2010,97,1,AE,Sean Thomas,Canada,M,SE,
AJB,2010,97,1,AE,Nancy Dengler,Canada,F,SE,
AJB,2010,97,1,AE,Christopher Eckert,Canada,M,SE,
AJB,2010,97,1,AE,Mary Berbee,Canada,F,SE,
AJB,2010,97,1,AE,Sean Graham,Canada,M,SE,
AJB,2011,98,1,AE,Fred Sack,Canada,M,SE,
AJB,2011,98,1,AE,Sean Thomas,Canada,M,SE,
AJB,2011,98,1,AE,Mary Berbee,Canada,F,SE,
AJB,2011,98,1,AE,Sean Graham,Canada,M,SE,
AJB,2011,98,1,AE,Risa Sargent,Canada,F,SE,
AJB,2012,99,1,AE,Fred Sack,Canada,M,SE,
AJB,2012,99,1,AE,Sean Thomas,Canada,M,SE,
AJB,2012,99,1,AE,Mary Berbee,Canada,F,SE,
AJB,2012,99,1,AE,Sean Graham,Canada,M,SE,
AJB,2012,99,1,AE,Risa Sargent,Canada,F,SE,
AJB,2013,100,1,AE,Fred Sack,Canada,M,SE,
AJB,2013,100,1,AE,Mary Berbee,Canada,F,SE,
AJB,2013,100,1,AE,Sean Graham,Canada,M,SE,
AJB,2014,101,1,AE,Mary Berbee,Canada,F,SE,
AJB,2014,101,1,AE,Sean Graham,Canada,M,SE,
AJB,2005,92,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2005,92,1,AE,Jane Langdale,UK,F,SE,England
AJB,2006,93,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2006,93,1,AE,Jane Langdale,UK,F,SE,England
AJB,2006,93,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2007,94,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2007,94,1,AE,Jane Langdale,UK,F,SE,England
AJB,2007,94,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2008,95,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2008,95,1,AE,Jane Langdale,UK,F,SE,England
AJB,2008,95,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2009,96,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2009,96,1,AE,Jane Langdale,UK,F,SE,England
AJB,2009,96,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2010,97,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2010,97,1,AE,Jane Langdale,UK,F,SE,England
AJB,2010,97,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2011,98,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2011,98,1,AE,Jane Langdale,UK,F,SE,England
AJB,2011,98,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2012,99,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2012,99,1,AE,Jane Langdale,UK,F,SE,England
AJB,2012,99,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2012,99,1,AE,Roland Ennos,UK,M,SE,England
AJB,2013,100,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2013,100,1,AE,Jane Langdale,UK,F,SE,England
AJB,2013,100,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2013,100,1,AE,Roland Ennos,UK,M,SE,England
AJB,2014,101,1,AE,Paul Kenrick,UK,M,SE,England
AJB,2014,101,1,AE,Jane Langdale,UK,F,SE,England
AJB,2014,101,1,AE,Deborah Kohn,UK,F,SE,England
AJB,2014,101,1,AE,Roland Ennos,UK,M,SE,England
AJB,2001,88,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2002,89,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2003,90,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2004,91,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2005,92,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2006,93,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2007,94,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2008,95,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2009,96,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2010,97,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2011,98,1,AE,Hans-Christof Spatz,Germany,M,SE,
AJB,2014,101,1,AE,R Geeta,India,F,SE,
AJB,2010,97,1,AE,Francisco Freaner,Mexico,M,SE,
AJB,2011,98,1,AE,Francisco Freaner,Mexico,M,SE,
AJB,2012,99,1,AE,Francisco Freaner,Mexico,M,SE,
AJB,2013,100,1,AE,Francisco Freaner,Mexico,M,SE,
AJB,2014,101,1,AE,Francisco Freaner,Mexico,M,SE,
AJB,2007,94,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,2008,95,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,2009,96,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,2010,97,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,2011,98,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,2012,99,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,2013,100,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,2014,101,1,AE,Beata Zagorska-Marek,Poland,F,SE,
AJB,1998,85,1,AE,Claude DePamphilis,USA,M,SE,
AJB,1999,86,1,AE,Claude DePamphilis,USA,M,SE,
AJB,1990,77,1,Editorial Committee (EC),Gregory Anderson,USA,M,SE,
AJB,1990,77,1,AE,Dominick Basile,USA,M,SE,
AJB,1990,77,1,AE,Robert Wyatt,USA,M,SE,
AJB,1990,77,1,AE,Robert Essman,USA,M,SE,
AJB,1991,78,1,AE,Gregory Anderson,USA,M,SE,
AJB,1991,78,1,AE,Dominick Basile,USA,M,SE,
AJB,1991,78,1,AE,Robert Wyatt,USA,M,SE,
AJB,1991,78,1,AE,Robert Essman,USA,M,SE,
AJB,1992,79,1,AE,Gregory Anderson,USA,M,SE,
AJB,1992,79,1,AE,Dominick Basile,USA,M,SE,
AJB,1992,79,1,AE,Robert Wyatt,USA,M,SE,
AJB,1992,79,1,AE,Robert Essman,USA,M,SE,
AJB,1993,80,1,AE,Gregory Anderson,USA,M,SE,
AJB,1993,80,1,AE,Darleen Demason,USA,F,SE,
AJB,1993,80,1,AE,Robert Wyatt,USA,M,SE,
AJB,1993,80,1,AE,Robert Essman,USA,M,SE,
AJB,1994,81,1,AE,Darleen Demason,USA,F,SE,
AJB,1994,81,1,AE,Grady Webster,USA,M,SE,
AJB,1995,82,1,Invited Papers Editor,Darleen Demason,USA,F,SE,SPECIAL
AJB,1995,82,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,1995,82,1,AE,Gregory Anderson,USA,M,SE,
AJB,1995,82,1,AE,Deborah Charlesworth,USA,F,SE,
AJB,1995,82,1,AE,Michael Christianson,USA,M,SE,
AJB,1995,82,1,AE,Todd Cooke,USA,M,SE,
AJB,1995,82,1,AE,William Dimichele,USA,M,SE,
AJB,1995,82,1,AE,Michael Donoghue,USA,M,SE,
AJB,1995,82,1,AE,William Friedman,USA,M,SE,
AJB,1995,82,1,AE,Barbara Gartner,USA,F,SE,
AJB,1995,82,1,AE,Linda Graham,USA,F,SE,
AJB,1995,82,1,AE,Chris Haufler,Usa,M,SE,
AJB,1995,82,1,AE,Michele Holbrook,USA,F,SE,
AJB,1995,82,1,AE,Carl McDaniel,USA,M,SE,
AJB,1995,82,1,AE,Dominick Pacillio,USA,M,SE,
AJB,1995,82,1,AE,Gar Rothwell,USA,M,SE,
AJB,1995,82,1,AE,Fred Sack,USA,M,SE,
AJB,1995,82,1,AE,Wendy Silk,USA,F,SE,
AJB,1995,82,1,AE,William Stein,USA,M,SE,
AJB,1995,82,1,AE,Bruce Tiffney,USA,M,SE,
AJB,1995,82,1,AE,Sean Thomas,USA,M,SE,
AJB,1995,82,1,AE,Judith Verbeke,USA,F,SE,
AJB,1996,83,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,1996,83,1,AE,Gregory Anderson,USA,M,SE,
AJB,1996,83,1,AE,Deborah Charlesworth,USA,F,SE,
AJB,1996,83,1,AE,Michael Christianson,USA,M,SE,
AJB,1996,83,1,AE,Todd Cooke,USA,M,SE,
AJB,1996,83,1,AE,William Dimichele,USA,M,SE,
AJB,1996,83,1,AE,Michael Donoghue,USA,M,SE,
AJB,1996,83,1,AE,William Friedman,USA,M,SE,
AJB,1996,83,1,AE,Barbara Gartner,USA,F,SE,
AJB,1996,83,1,AE,Linda Graham,USA,F,SE,
AJB,1996,83,1,AE,Chris Haufler,Usa,M,SE,
AJB,1996,83,1,AE,Michele Holbrook,USA,F,SE,
AJB,1996,83,1,AE,Carl McDaniel,USA,M,SE,
AJB,1996,83,1,AE,Dominick Pacillio,USA,M,SE,
AJB,1996,83,1,AE,Gar Rothwell,USA,M,SE,
AJB,1996,83,1,AE,Fred Sack,USA,M,SE,
AJB,1996,83,1,AE,Wendy Silk,USA,F,SE,
AJB,1996,83,1,AE,William Stein,USA,M,SE,
AJB,1996,83,1,AE,Bruce Tiffney,USA,M,SE,
AJB,1996,83,1,AE,Sean Thomas,USA,M,SE,
AJB,1996,83,1,AE,Judith Verbeke,USA,F,SE,
AJB,1996,83,1,AE,Russell Chapman,USA,M,SE,
AJB,1996,83,1,AE,Darleen Demason,USA,F,SE,
AJB,1996,83,1,AE,Aaron Ellison,USA,M,SE,
AJB,1997,84,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,1997,84,1,AE,Gregory Anderson,USA,M,SE,
AJB,1997,84,1,AE,Michael Christianson,USA,M,SE,
AJB,1997,84,1,AE,Todd Cooke,USA,M,SE,
AJB,1997,84,1,AE,William Dimichele,USA,M,SE,
AJB,1997,84,1,AE,William Friedman,USA,M,SE,
AJB,1997,84,1,AE,Barbara Gartner,USA,F,SE,
AJB,1997,84,1,AE,Linda Graham,USA,F,SE,
AJB,1997,84,1,AE,Chris Haufler,Usa,M,SE,
AJB,1997,84,1,AE,Michele Holbrook,USA,F,SE,
AJB,1997,84,1,AE,Dominick Pacillio,USA,M,SE,
AJB,1997,84,1,AE,Gar Rothwell,USA,M,SE,
AJB,1997,84,1,AE,Fred Sack,USA,M,SE,
AJB,1997,84,1,AE,Wendy Silk,USA,F,SE,
AJB,1997,84,1,AE,William Stein,USA,M,SE,
AJB,1997,84,1,AE,Bruce Tiffney,USA,M,SE,
AJB,1997,84,1,AE,Sean Thomas,USA,M,SE,
AJB,1997,84,1,AE,Judith Verbeke,USA,F,SE,
AJB,1997,84,1,AE,Russell Chapman,USA,M,SE,
AJB,1997,84,1,AE,Darleen Demason,USA,F,SE,
AJB,1997,84,1,AE,Aaron Ellison,USA,M,SE,
AJB,1997,84,1,AE,Claude DePamphilis,USA,M,SE,
AJB,1997,84,1,AE,Loren Rieseberg,USA,F,SE,
AJB,1998,85,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,1998,85,1,AE,Gregory Anderson,USA,M,SE,
AJB,1998,85,1,AE,Michael Christianson,USA,M,SE,
AJB,1998,85,1,AE,Todd Cooke,USA,M,SE,
AJB,1998,85,1,AE,William Dimichele,USA,M,SE,
AJB,1998,85,1,AE,William Friedman,USA,M,SE,
AJB,1998,85,1,AE,Barbara Gartner,USA,F,SE,
AJB,1998,85,1,AE,Linda Graham,USA,F,SE,
AJB,1998,85,1,AE,Chris Haufler,Usa,M,SE,
AJB,1998,85,1,AE,Michele Holbrook,USA,F,SE,
AJB,1998,85,1,AE,Dominick Pacillio,USA,M,SE,
AJB,1998,85,1,AE,Gar Rothwell,USA,M,SE,
AJB,1998,85,1,AE,Fred Sack,USA,M,SE,
AJB,1998,85,1,AE,Wendy Silk,USA,F,SE,
AJB,1998,85,1,AE,William Stein,USA,M,SE,
AJB,1998,85,1,AE,Bruce Tiffney,USA,M,SE,
AJB,1998,85,1,AE,Sean Thomas,USA,M,SE,
AJB,1998,85,1,AE,Judith Verbeke,USA,F,SE,
AJB,1998,85,1,AE,Russell Chapman,USA,M,SE,
AJB,1998,85,1,AE,Darleen Demason,USA,F,SE,
AJB,1998,85,1,AE,Aaron Ellison,USA,M,SE,
AJB,1998,85,1,AE,Loren Rieseberg,USA,F,SE,
AJB,1998,85,1,AE,Jeff Palmer,USA,M,SE,
AJB,1999,86,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,1999,86,1,AE,Gregory Anderson,USA,M,SE,
AJB,1999,86,1,AE,Michael Christianson,USA,M,SE,
AJB,1999,86,1,AE,Todd Cooke,USA,M,SE,
AJB,1999,86,1,AE,William Dimichele,USA,M,SE,
AJB,1999,86,1,AE,William Friedman,USA,M,SE,
AJB,1999,86,1,AE,Barbara Gartner,USA,F,SE,
AJB,1999,86,1,AE,Linda Graham,USA,F,SE,
AJB,1999,86,1,AE,Chris Haufler,Usa,M,SE,
AJB,1999,86,1,AE,Michele Holbrook,USA,F,SE,
AJB,1999,86,1,AE,Dominick Pacillio,USA,M,SE,
AJB,1999,86,1,AE,Gar Rothwell,USA,M,SE,
AJB,1999,86,1,AE,Fred Sack,USA,M,SE,
AJB,1999,86,1,AE,Wendy Silk,USA,F,SE,
AJB,1999,86,1,AE,William Stein,USA,M,SE,
AJB,1999,86,1,AE,Bruce Tiffney,USA,M,SE,
AJB,1999,86,1,AE,Sean Thomas,USA,M,SE,
AJB,1999,86,1,AE,Judith Verbeke,USA,F,SE,
AJB,1999,86,1,AE,Russell Chapman,USA,M,SE,
AJB,1999,86,1,AE,Darleen Demason,USA,F,SE,
AJB,1999,86,1,AE,Aaron Ellison,USA,M,SE,
AJB,1999,86,1,AE,Loren Rieseberg,USA,F,SE,
AJB,1999,86,1,AE,Jeff Palmer,USA,M,SE,
AJB,2000,87,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,2000,87,1,AE,Gregory Anderson,USA,M,SE,
AJB,2000,87,1,AE,Michael Christianson,USA,M,SE,
AJB,2000,87,1,AE,Todd Cooke,USA,M,SE,
AJB,2000,87,1,AE,William Dimichele,USA,M,SE,
AJB,2000,87,1,AE,Barbara Gartner,USA,F,SE,
AJB,2000,87,1,AE,Linda Graham,USA,F,SE,
AJB,2000,87,1,AE,Chris Haufler,Usa,M,SE,
AJB,2000,87,1,AE,Michele Holbrook,USA,F,SE,
AJB,2000,87,1,AE,Dominick Pacillio,USA,M,SE,
AJB,2000,87,1,AE,Gar Rothwell,USA,M,SE,
AJB,2000,87,1,AE,Fred Sack,USA,M,SE,
AJB,2000,87,1,AE,Wendy Silk,USA,F,SE,
AJB,2000,87,1,AE,William Stein,USA,M,SE,
AJB,2000,87,1,AE,Bruce Tiffney,USA,M,SE,
AJB,2000,87,1,AE,Sean Thomas,USA,M,SE,
AJB,2000,87,1,AE,Russell Chapman,USA,M,SE,
AJB,2000,87,1,AE,Darleen Demason,USA,F,SE,
AJB,2000,87,1,AE,Aaron Ellison,USA,M,SE,
AJB,2000,87,1,AE,Claude DePamphilis,USA,M,SE,
AJB,2000,87,1,AE,Loren Rieseberg,USA,F,SE,
AJB,2000,87,1,AE,Jeff Palmer,USA,M,SE,
AJB,2000,87,1,AE & Electronic Publication editor,Scott Russell,USA,M,SE,
AJB,2000,87,1,AE,David Giannasi,USA,M,SE,
AJB,2000,87,1,AE,Barbara Schaal,USA,F,SE,
AJB,2000,87,1,AE,Pam Soltis,USA,F,SE,
AJB,2000,87,1,AE,Hans-Christof Spatz,USA,M,SE,
AJB,2001,88,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,2001,88,1,AE,Gregory Anderson,USA,M,SE,
AJB,2001,88,1,AE,Michael Christianson,USA,M,SE,
AJB,2001,88,1,AE,William Dimichele,USA,M,SE,
AJB,2001,88,1,AE,Barbara Gartner,USA,F,SE,
AJB,2001,88,1,AE,Linda Graham,USA,F,SE,
AJB,2001,88,1,AE,Chris Haufler,Usa,M,SE,
AJB,2001,88,1,AE,Michele Holbrook,USA,F,SE,
AJB,2001,88,1,AE,Dominick Pacillio,USA,M,SE,
AJB,2001,88,1,AE,Gar Rothwell,USA,M,SE,
AJB,2001,88,1,AE,Fred Sack,USA,M,SE,
AJB,2001,88,1,AE,Wendy Silk,USA,F,SE,
AJB,2001,88,1,AE,William Stein,USA,M,SE,
AJB,2001,88,1,AE,Bruce Tiffney,USA,M,SE,
AJB,2001,88,1,AE,Sean Thomas,USA,M,SE,
AJB,2001,88,1,AE,Russell Chapman,USA,M,SE,
AJB,2001,88,1,AE,Darleen Demason,USA,F,SE,
AJB,2001,88,1,AE,Aaron Ellison,USA,M,SE,
AJB,2001,88,1,AE,Loren Rieseberg,USA,F,SE,
AJB,2001,88,1,AE,Jeff Palmer,USA,M,SE,
AJB,2001,88,1,AE & Electronic Publication editor,Scott Russell,USA,M,SE,
AJB,2001,88,1,AE,David Giannasi,USA,M,SE,
AJB,2001,88,1,AE,Barbara Schaal,USA,F,SE,
AJB,2001,88,1,AE,Jennifer Richards,USA,F,SE,
AJB,2001,88,1,AE,Maxine Watson,USA,F,SE,
AJB,2002,89,1,Associate Editors,David Ackerly,USA,M,SE,
AJB,2002,89,1,AE,Gregory Anderson,USA,M,SE,
AJB,2002,89,1,AE,Michael Christianson,USA,M,SE,
