JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
AREES,1985,16,,E,Richard F. Johnston,USA,M,EIC,
AREES,1985,16,,AE,Peter W. Frank,USA,M,AE,
AREES,1985,16,,AE,Charles D.  Michener,USA,M,AE,
AREES,1985,16,,EC,Joseph Felsenstein,USA,M,SE,
AREES,1985,16,,EC,Patricia A. Werner,USA,F,SE,
AREES,1985,16,,EC,David M. Raup,USA,M,SE,
AREES,1985,16,,EC,Herman H. Shugart,USA,M,SE,
AREES,1985,16,,EC,Beryl B. Simpson,USA,F,SE,
AREES,1986,17,,E,Richard F. Johnston,USA,M,EIC,
AREES,1986,17,,AE,Peter W. Frank,USA,M,AE,
AREES,1986,17,,AE,Charles D.  Michener,USA,M,AE,
AREES,1986,17,,EC,Joseph Felsenstein,USA,M,SE,
AREES,1986,17,,EC,Frances C. James,USA,F,SE,
AREES,1986,17,,EC,David M. Raup,USA,M,SE,
AREES,1986,17,,EC,Herman H. Shugart,USA,M,SE,
AREES,1986,17,,EC,Beryl B. Simpson,USA,F,SE,
AREES,1987,18,,E,Richard F. Johnston,USA,M,EIC,
AREES,1987,18,,AE,Peter W. Frank,USA,M,AE,
AREES,1987,18,,AE,Charles D.  Michener,USA,M,AE,
AREES,1987,18,,EC,Douglas J. Futuyma,USA,M,SE,
AREES,1987,18,,EC,Frances C. James,USA,F,SE,
AREES,1987,18,,EC,David M. Raup,USA,M,SE,
AREES,1987,18,,EC,Herman H. Shugart,USA,M,SE,
AREES,1987,18,,EC,Beryl B. Simpson,USA,F,SE,
AREES,1988,19,,E,Richard F. Johnston,USA,M,EIC,
AREES,1988,19,,AE,Peter W. Frank,USA,M,AE,
AREES,1988,19,,AE,Charles D.  Michener,USA,M,AE,
AREES,1988,19,,EC,Douglas J. Futuyma,USA,M,SE,
AREES,1988,19,,EC,Frances C. James,USA,F,SE,
AREES,1988,19,,EC,David M. Raup,USA,M,SE,
AREES,1988,19,,EC,Beryl B. Simpson,USA,F,SE,
AREES,1988,19,,EC,Peter M. Vitousek,USA,M,SE,
AREES,1989,20,,E,Richard F. Johnston,USA,M,EIC,
AREES,1989,20,,AE,Peter W. Frank,USA,M,AE,
AREES,1989,20,,AE,Charles D.  Michener,USA,M,AE,
AREES,1989,20,,EC,Douglas J. Futuyma,USA,M,SE,
AREES,1989,20,,EC,James L. Hamrick,USA,M,SE,
AREES,1989,20,,EC,David Jablonski,USA,M,SE,
AREES,1989,20,,EC,Frances C. James,USA,F,SE,
AREES,1989,20,,EC,Peter M Vitousek,USA,M,SE,
AREES,1990,21,,E,Richard F. Johnston,USA,M,EIC,
AREES,1990,21,,AE,Peter W. Frank,USA,M,AE,
AREES,1990,21,,AE,Charles D.  Michener,USA,M,AE,
AREES,1990,21,,EC,Douglas J. Futuyma,USA,M,SE,
AREES,1990,21,,EC,James L. Hamrick,USA,M,SE,
AREES,1990,21,,EC,David Jablonski,USA,M,SE,
AREES,1990,21,,EC,Frances C. James,USA,F,SE,
AREES,1990,21,,EC,Peter M Vitousek,USA,M,SE,
AREES,1991,22,,E,Richard F. Johnston,USA,M,EIC,
AREES,1991,22,,AE,Peter W. Frank,USA,M,AE,
AREES,1991,22,,AE,Frances C. James,USA,F,AE,
AREES,1991,22,,EC,Douglas J. Futuyma,USA,M,SE,
AREES,1991,22,,EC,James L. Hamrick,USA,M,SE,
AREES,1991,22,,EC,David Jablonski,USA,M,SE,
AREES,1991,22,,EC,Joseph Travis,USA,M,SE,
AREES,1991,22,,EC,Peter M. Vitousek,USA,M,SE,
AREES,1992,23,,E,Daphne Gail Fautin,USA,F,EIC,
AREES,1992,23,,AE,Douglas J. Futuyma,USA,M,AE,
AREES,1992,23,,AE,Frances C.  James,USA,F,AE,
AREES,1992,23,,EC,John C. Avise,USA,M,SE,
AREES,1992,23,,EC,James L. Hamrick,USA,M,SE,
AREES,1992,23,,EC,David Jablonski,USA,M,SE,
AREES,1992,23,,EC,Joseph Travis,USA,M,SE,
AREES,1992,23,,EC,Peter M. Vitousek,USA,M,SE,
AREES,1993,24,,E,Daphne Gail Fautin,USA,F,EIC,
AREES,1993,24,,AE,Douglas J. Futuyma,USA,M,AE,
AREES,1993,24,,AE,Frances C.  James,USA,F,AE,
AREES,1993,24,,EC,John C. Avise,USA,M,SE,
AREES,1993,24,,EC,Stephen R. Carpenter,USA,M,SE,
AREES,1993,24,,EC,James L. Hamrick,USA,M,SE,
AREES,1993,24,,EC,David Jablonski,USA,M,SE,
AREES,1993,24,,EC,Joseph Travis,USA,M,SE,
AREES,1994,25,,E,Daphne Gail Fautin,USA,F,EIC,
AREES,1994,25,,AE,Douglas J. Futuyma,USA,M,AE,
AREES,1994,25,,AE,Frances C.  James,USA,F,AE,
AREES,1994,25,,EC,John C. Avise,USA,M,SE,
AREES,1994,25,,EC,Stephen R. Carpenter,USA,M,SE,
