JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
AGRONOMY,2014,NA,NA,SE,Herman Urcola,Argentina,M,SE,
AGRONOMY,2013,NA,NA,SE,Herman Urcola,Argentina,M,SE,
AGRONOMY,2012,NA,NA,SE,Herman Urcola,Argentina,M,SE,
AGRONOMY,2011,NA,NA,SE,Gustavo Maddonni,Argentina,M,SE,
AGRONOMY,2011,NA,NA,SE,Hernan Urcola,Argentina,M,SE,
AGRONOMY,2011,NA,NA,SE,Fernando Salvagiotti,Argentina,M,SE,
AGRONOMY,2010,NA,NA,SE,Gustavo Maddonni,Argentina,M,SE,
AGRONOMY,2010,NA,NA,SE,Hernan Urcola,Argentina,M,SE,
AGRONOMY,2010,NA,NA,SE,Fernando Salvagiotti,Argentina,M,SE,
AGRONOMY,2009,NA,NA,SE,Gustavo Maddonni,Argentina,M,SE,
AGRONOMY,2009,NA,NA,SE,Hernan Urcola,Argentina,M,SE,
AGRONOMY,2009,NA,NA,SE,Fernando Salvagiotti,Argentina,M,SE,
AGRONOMY,2008,NA,NA,SE,Ricardo Melchiori,Argentina,M,SE,
AGRONOMY,2008,NA,NA,SE,Gustavo Maddonni,Argentina,M,SE,
AGRONOMY,2008,NA,NA,SE,Hernan Urcola,Argentina,M,SE,
AGRONOMY,2008,NA,NA,SE,Fernando Salvagiotti,Argentina,M,SE,
AGRONOMY,2007,NA,NA,SE,Ricardo Melchiori,Argentina,M,SE,
AGRONOMY,2006,NA,NA,SE,Ricardo Melchiori,Argentina,M,SE,
AGRONOMY,2014,NA,NA,SE,Peter Thorburn,Australia,M,SE,
AGRONOMY,2014,NA,NA,SE,Dirk Mallants,Australia,M,SE,
AGRONOMY,2013,NA,NA,SE,Dirk Mallants,Australia,M,SE,
AGRONOMY,2013,NA,NA,SE,Peter Thorburn,Australia,M,SE,
AGRONOMY,2012,NA,NA,SE,Peter Thorburn,Australia,M,SE,
AGRONOMY,2012,NA,NA,SE,Dirk Mallants,Australia,M,SE,
AGRONOMY,2012,NA,NA,SE,John Angus,Australia,M,SE,
AGRONOMY,2011,NA,NA,SE,John Angus,Australia,M,SE,
AGRONOMY,2010,NA,NA,SE,John Angus,Australia,M,SE,
AGRONOMY,2009,NA,NA,SE,John Angus,Australia,M,SE,
AGRONOMY,2008,NA,NA,SE,Brian Duggan,Australia,M,SE,
AGRONOMY,2014,NA,NA,SE,Carlos Pedreira,Brazil,M,SE,
AGRONOMY,2013,NA,NA,SE,Carlos Pedreira,Brazil,M,SE,
AGRONOMY,2012,NA,NA,AE,Carlos Pedreira,Brazil,M,AE,
AGRONOMY,2014,NA,NA,SE,Robert Grant,Canada,M,SE,
AGRONOMY,2014,NA,NA,SE,Noura Ziadi,Canada,F,SE,
AGRONOMY,2014,NA,NA,SE,Stanford Blade,Canada,M,SE,
AGRONOMY,2014,NA,NA,SE,Nicolas Tremblay,Canada,M,SE,
