JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
BITR,1969,1,1,AE,James A Peters,USA,M,AE,
BITR,1969,1,1,EIC,William Louid Stern,USA,M,EIC,
BITR,1970,2,1,EIC,William Louid Stern,USA,M,EIC,
BITR,1971,3,1,EIC,William Louid Stern,USA,M,EIC,
BITR,1972,4,1,EIC,William Louid Stern,USA,M,EIC,
BITR,1973,5,1,AE,Jay C Shaffer,USA,M,AE,
BITR,1973,5,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1974,6,1,AE,Jay C Shaffer,USA,M,AE,
BITR,1974,6,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1975,7,1,AE,Jay C Shaffer,USA,M,AE,
BITR,1975,7,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1976,8,1,AE,Carl H Ernst,USA,M,AE,
BITR,1976,8,1,AE,Jay C Shaffer,USA,M,AE,
BITR,1976,8,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1977,9,1,AE,Carl H Ernst,USA,M,AE,
BITR,1977,9,1,AE,Jay C Shaffer,USA,M,AE,
BITR,1977,9,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1978,10,1,AE,Carl H Ernst,USA,M,AE,
BITR,1978,10,1,AE,Jay C Shaffer,USA,M,AE,
BITR,1978,10,1,AE,John D Bultman,USA,M,AE,
BITR,1978,10,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1979,11,1,AE,Carl H Ernst,USA,M,AE,
BITR,1979,11,1,AE,John D Bultman,USA,M,AE,
BITR,1979,11,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1980,12,1,AE,Carl H Ernst,USA,M,AE,
BITR,1980,12,1,AE,John D Bultman,USA,M,AE,
BITR,1980,12,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1981,13,1,AE,Carl H Ernst,USA,M,AE,
BITR,1981,13,1,AE,John D Bultman,USA,M,AE,
BITR,1981,13,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1982,14,1,AE,Carl H Ernst,USA,M,AE,
BITR,1982,14,1,AE,John D Bultman,USA,M,AE,
BITR,1982,14,1,EIC,Michael G Emsley,USA,M,EIC,
BITR,1983,15,1,AE,Jay S Tashiro,USA,M,AE,
BITR,1983,15,1,AE,John D Bultman,USA,M,AE,
BITR,1983,15,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1984,16,1,AE,Jay S Tashiro,USA,M,AE,
BITR,1984,16,1,AE,John D Bultman,USA,M,AE,
BITR,1984,16,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1985,17,1,AE,Jay S Tashiro,USA,M,AE,
BITR,1985,17,1,AE,John D Bultman,USA,M,AE,
BITR,1985,17,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1986,18,1,AE,Jay S Tashiro,USA,M,AE,
BITR,1986,18,1,AE,John D Bultman,USA,M,AE,
BITR,1986,18,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1987,19,1,AE,Jay S Tashiro,USA,M,AE,
BITR,1987,19,1,AE,John D Bultman,USA,M,AE,
BITR,1987,19,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1987,19,1,SE,Francis Halle,France,M,SE,
BITR,1987,19,1,SE,B Adebayo Lasebikan,Nigeria,M,SE,
BITR,1987,19,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1987,19,1,SE,Paul W Richards,UK,M,SE,
BITR,1987,19,1,SE,Michael G Emsley,USA,M,SE,
BITR,1988,20,1,AE,John D Bultman,USA,M,AE,
BITR,1988,20,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1988,20,1,SE,Francis Halle,France,M,SE,
BITR,1988,20,1,SE,B Adebayo Lasebikan,Nigeria,M,SE,
BITR,1988,20,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1988,20,1,SE,Paul W Richards,UK,M,SE,
BITR,1988,20,1,SE,Michael G Emsley,USA,M,SE,
BITR,1989,21,1,AE,John D Bultman,USA,M,AE,
BITR,1989,21,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1989,21,1,SE,Francis Halle,France,M,SE,
BITR,1989,21,1,SE,B Adebayo Lasebikan,Nigeria,M,SE,
BITR,1989,21,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1989,21,1,SE,Paul W Richards,UK,M,SE,
BITR,1989,21,1,SE,Michael G Emsley,USA,M,SE,
BITR,1990,22,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1990,22,1,AE,John D Bultman,USA,M,AE,
BITR,1990,22,1,SE,Francis Halle,France,M,SE,
BITR,1990,22,1,SE,B Adebayo Lasebikan,Nigeria,M,SE,
BITR,1990,22,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1990,22,1,SE,Paul W Richards,UK,M,SE,
BITR,1990,22,1,SE,Michael G Emsley,USA,M,SE,
BITR,1991,23,1,AE,John D Bultman,USA,M,AE,
BITR,1991,23,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1991,23,1,SE,Francis Halle,France,M,SE,
BITR,1991,23,1,SE,B Adebayo Lasebikan,Nigeria,M,SE,
BITR,1991,23,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1991,23,1,SE,Paul W Richards,UK,M,SE,
BITR,1991,23,1,SE,Michael G Emsley,USA,M,SE,
BITR,1992,24,1,AE,John D Bultman,USA,M,AE,
BITR,1992,24,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1992,24,1,SE,Francis Halle,France,M,SE,
BITR,1992,24,1,SE,B Adebayo Lasebikan,Nigeria,M,SE,
BITR,1992,24,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1992,24,1,SE,Paul W Richards,UK,M,SE,
BITR,1992,24,1,SE,Michael G Emsley,USA,M,SE,
BITR,1993,25,1,AE,John D Bultman,USA,M,AE,
BITR,1993,25,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1993,25,1,SE,John E D Fox,Australia,M,SE,
BITR,1993,25,1,SE,Anthony Anderson,Brazil,M,SE,
BITR,1993,25,1,SE,Woodruff Benson,Brazil,M,SE,
BITR,1993,25,1,SE,Francis Halle,France,M,SE,
BITR,1993,25,1,SE,Madhav Gadgil,India,M,SE,
BITR,1993,25,1,SE,Ong Jin Eong,Malaysia,M,SE,
BITR,1993,25,1,SE,Jose Sarukhan,Mexico,M,SE,
BITR,1993,25,1,SE,Antoine M Cleef,Netherlands,M,SE,
BITR,1993,25,1,SE,Mosadoluwa Adetola Badejo,Nigeria,M,SE,
BITR,1993,25,1,SE,Mary Jane West-Eberhard,Panama,F,SE,
BITR,1993,25,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1993,25,1,SE,Paul W Richards,UK,M,SE,
BITR,1993,25,1,SE,Betty J Meggers,USA,F,SE,
BITR,1993,25,1,SE,Edward O Wilson,USA,M,SE,
BITR,1993,25,1,SE,Francis E Putz,USA,M,SE,
BITR,1993,25,1,SE,John Terborgh,USA,M,SE,
BITR,1993,25,1,SE,Mercedes S Foster,USA,F,SE,
BITR,1993,25,1,SE,Paul A Colinvaux,USA,M,SE,
BITR,1993,25,1,SE,Peter M Vitousek,USA,M,SE,
BITR,1993,25,1,SE,Robert K Colwell,USA,M,SE,
BITR,1993,25,1,SE,Sandra Brown,USA,F,SE,
BITR,1993,25,1,SE,Thomas Lovejoy,USA,M,SE,
BITR,1993,25,1,SE,William M Lewis Jr,USA,M,SE,
BITR,1993,25,1,SE,Harold Heatwole,USA ,M,SE,
BITR,1993,25,1,SE,Ernesto Medina,Venezuela,M,SE,
BITR,1994,26,1,AE,John D Bultman,USA,M,AE,
BITR,1994,26,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1994,26,1,SE,John E D Fox,Australia,M,SE,
BITR,1994,26,1,SE,Anthony Anderson,Brazil,M,SE,
BITR,1994,26,1,SE,Woodruff Benson,Brazil,M,SE,
BITR,1994,26,1,SE,Francis Halle,France,M,SE,
BITR,1994,26,1,SE,Madhav Gadgil,India,M,SE,
BITR,1994,26,1,SE,Ong Jin Eong,Malaysia,M,SE,
BITR,1994,26,1,SE,Jose Sarukhan,Mexico,M,SE,
BITR,1994,26,1,SE,Mosadoluwa Adetola Badejo,Nigeria,M,SE,
BITR,1994,26,1,SE,Mary Jane West-Eberhard,Panama,F,SE,
BITR,1994,26,1,SE,Ghillean T Prance,UK,M,SE,England
BITR,1994,26,1,SE,Paul W Richards,UK,M,SE,
BITR,1994,26,1,SE,Betty J Meggers,USA,F,SE,
BITR,1994,26,1,SE,Edward O Wilson,USA,M,SE,
BITR,1994,26,1,SE,Francis E Putz,USA,M,SE,
BITR,1994,26,1,SE,John Terborgh,USA,M,SE,
BITR,1994,26,1,SE,Mercedes S Foster,USA,F,SE,
BITR,1994,26,1,SE,Peter M Vitousek,USA,M,SE,
BITR,1994,26,1,SE,Sandra Brown,USA,F,SE,
BITR,1994,26,1,SE,Thomas Lovejoy,USA,M,SE,
BITR,1994,26,1,SE,Ernesto Medina,Venezuela,M,SE,
BITR,1995,27,1,AE,John D Bultman,USA,M,AE,
BITR,1995,27,1,EIC,E Raymond Heithaus,USA,M,EIC,
BITR,1995,27,1,SE,John E D Fox,Australia,M,SE,
BITR,1995,27,1,SE,Anthony Anderson,Brazil,M,SE,
BITR,1995,27,1,SE,Woodruff Benson,Brazil,M,SE,
BITR,1995,27,1,SE,Francis Halle,France,M,SE,
BITR,1995,27,1,SE,Madhav Gadgil,India,M,SE,
BITR,1995,27,1,SE,Ong Jin Eong,Malaysia,M,SE,
BITR,1995,27,1,SE,Jose Sarukhan,Mexico,M,SE,
BITR,1995,27,1,SE,Antoine M Cleef,Netherlands,M,SE,
BITR,1995,27,1,SE,Mosadoluwa Adetola Badejo,Nigeria,M,SE,
BITR,1995,27,1,SE,Mary Jane West-Eberhard,Panama,F,SE,
BITR,1995,27,1,SE,Paul W Richards,UK,M,SE,
BITR,1995,27,1,SE,Betty J Meggers,USA,F,SE,
BITR,1995,27,1,SE,Edward O Wilson,USA,M,SE,
BITR,1995,27,1,SE,Francis E Putz,USA,M,SE,
BITR,1995,27,1,SE,John Terborgh,USA,M,SE,
BITR,1995,27,1,SE,Mercedes S Foster,USA,F,SE,
BITR,1995,27,1,SE,Peter M Vitousek,USA,M,SE,
BITR,1995,27,1,SE,Robert K Colwell,USA,M,SE,
BITR,1995,27,1,SE,Sandra Brown,USA,F,SE,
BITR,1995,27,1,SE,Thomas Lovejoy,USA,M,SE,
BITR,1995,27,1,SE,William M Lewis Jr,USA,M,SE,
