JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
CONBIO,2014,28,1,SE,Christopher Anderson,Argentina,M,SE,
CONBIO,2014,28,1,SE,Ricardo A Ojeda,Argentina,M,SE,
CONBIO,2002,16,1,SE,Miguel Pascual,Argentina,M,SE,
CONBIO,2001,15,1,SE,Miguel Pascual,Argentina,M,SE,
CONBIO,2000,14,1,SE,Miguel Pascual,Argentina,M,SE,
CONBIO,2014,28,1,AE,Michael A. McCarthy,Australia,M,AE,
CONBIO,2013,27,1,AE,Michael A. McCarthy,Australia,M,AE,
CONBIO,2014,28,1,SE,Yung En Chee,Australia,F,SE,
CONBIO,2014,28,1,SE,Joshua Cinner,Australia,M,SE,
CONBIO,2014,28,1,SE,Kristine French,Australia,F,SE,
CONBIO,2014,28,1,SE,Gurutzeta Guillera-Arroita,Australia,F,SE,
CONBIO,2014,28,1,SE,Geoff Heard,Australia,M,SE,
CONBIO,2014,28,1,SE,Carissa Klein,Australia,F,SE,
CONBIO,2014,28,1,SE,M. Aaron MacNeil,Australia,M,SE,
CONBIO,2014,28,1,SE,Helene Marsh,Australia,F,SE,
CONBIO,2014,28,1,SE,Tara Martin,Australia,F,SE,
CONBIO,2014,28,1,SE,Hamish McCallum,Australia,M,SE,
CONBIO,2014,28,1,SE,Emily Nicholson,Australia,F,SE,
CONBIO,2014,28,1,SE,David Warton,Australia,M,SE,
CONBIO,2014,28,1,SE,James E. M. Watson,Australia,M,SE,
CONBIO,2014,28,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2013,27,1,SE,Mark A. Burgman,Australia,M,SE,
CONBIO,2013,27,1,SE,Joshua Cinner,Australia,M,SE,
CONBIO,2013,27,1,SE,Kristine French,Australia,F,SE,
CONBIO,2013,27,1,SE,Helene Marsh,Australia,F,SE,
CONBIO,2013,27,1,SE,Tara Martin,Australia,F,SE,
CONBIO,2013,27,1,SE,Hamish McCallum,Australia,M,SE,
CONBIO,2013,27,1,SE,James E. M. Watson,Australia,M,SE,
CONBIO,2013,27,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2012,26,1,AE,Michael A. McCarthy,Australia,M,AE,
CONBIO,2012,26,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2012,26,1,SE,Carla Catterakk,Australia,F,SE,
CONBIO,2012,26,1,SE,Joshua Cinner,Australia,M,SE,
CONBIO,2012,26,1,SE,Kristine French,Australia,F,SE,
CONBIO,2012,26,1,SE,Ralph Mac Nally,Australia,M,SE,
CONBIO,2012,26,1,SE,Helene Marsh,Australia,F,SE,
CONBIO,2012,26,1,SE,Tara Martin,Australia,F,SE,
CONBIO,2012,26,1,SE,James E.M. Watson,Australia,M,SE,
CONBIO,2012,26,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2011,25,1,AE,Michael A. McCarthy,Australia,M,AE,
CONBIO,2011,25,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2011,25,1,SE,Joshua Cinner,Australia,M,SE,
CONBIO,2011,25,1,SE,Helene Marsh,Australia,F,SE,
CONBIO,2011,25,1,SE,Tara Martin,Australia,F,SE,
CONBIO,2011,25,1,SE,James E.M. Watson,Australia,M,SE,
CONBIO,2011,25,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2010,24,1,AE,Michael A. McCarthy,Australia,M,AE,
CONBIO,2010,24,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2010,24,1,SE,Joshua Cinner,Australia,M,SE,
CONBIO,2010,24,1,SE,Helene Marsh,Australia,F,SE,
CONBIO,2010,24,1,SE,Tara Martin,Australia,F,SE,
CONBIO,2010,24,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2009,23,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2009,23,1,SE,Bob Pressey,Australia,M,SE,
CONBIO,2009,23,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2008,22,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2008,22,1,SE,Bob Pressey,Australia,M,SE,
CONBIO,2008,22,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2007,21,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2007,21,1,SE,Bob Pressey,Australia,M,SE,
CONBIO,2007,21,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2006,20,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2006,20,1,SE,Richard Frankham,Australia,M,SE,
CONBIO,2006,20,1,SE,Bob Pressey,Australia,M,SE,
CONBIO,2006,20,1,SE,Andrew Young,Australia,M,SE,
CONBIO,2005,19,1,SE,Mark Burgman,Australia,M,SE,
CONBIO,2005,19,1,SE,Richard Frankham,Australia,M,SE,
CONBIO,2005,19,1,SE,Hugh Possingham,Australia,M,SE,
