JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
ECOLOGY,2010,91,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2009,90,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2008,89,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2007,88,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2006,87,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2005,86,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2004,85,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2003,84,1,AEIC,Aaron Ellison,USA,M,AE,
ECOLOGY,2002,83,1,BE,Aaron Ellison,USA,M,SE,
ECOLOGY,2001,82,1,DAE,Aaron Ellison,USA,M,SPECIAL,
ECOLOGY,2000,81,1,DAE,Aaron Ellison,USA,M,SPECIAL,
ECOLOGY,1999,80,1,DAE,Aaron Ellison,USA,M,SPECIAL,
ECOLOGY,2013,94,1,SE,Aimee T Classen,USA,F,SE,
ECOLOGY,2012,93,1,SE,Aimee T Classen,USA,F,SE,
ECOLOGY,2001,82,1,BE,Alan K Knapp,USA,M,SE,
ECOLOGY,2000,81,1,BE,Alan K Knapp,USA,M,SE,
ECOLOGY,1999,80,1,BE,Alan K Knapp,USA,M,SE,
ECOLOGY,2013,94,1,SE,Alan L Shanks,USA,M,SE,
ECOLOGY,2012,93,1,SE,Alan L Shanks,USA,M,SE,
ECOLOGY,2011,92,1,SE,Alan L Shanks,USA,M,SE,
ECOLOGY,2010,91,1,SE,Alan L Shanks,USA,M,SE,
ECOLOGY,2009,90,1,SE,Alan L Shanks,USA,M,SE,
ECOLOGY,1992,73,1,BE,Alan M Hastings,USA,M,SE,
ECOLOGY,1991,72,1,BE,Alan M Hastings,USA,M,SE,
ECOLOGY,1990,71,1,BE,Alan M Hastings,USA,M,SE,
ECOLOGY,2013,94,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2012,93,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2011,92,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2010,91,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2009,90,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2008,89,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2007,88,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2006,87,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2005,86,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2004,85,1,SE,Alexander S Flecker,USA,M,SE,
ECOLOGY,2002,83,1,BE,Allan Stewart-Oaten,USA,M,SE,
ECOLOGY,2001,82,1,BE,Allan Stewart-Oaten,USA,M,SE,
ECOLOGY,2000,81,1,BE,Allan Stewart-Oaten,USA,M,SE,
ECOLOGY,1999,80,1,BE,Allan Stewart-Oaten,USA,M,SE,
ECOLOGY,2001,82,1,BE,Allison A Snow,USA,F,SE,
ECOLOGY,2000,81,1,BE,Allison A Snow,USA,F,SE,
ECOLOGY,1999,80,1,BE,Allison A Snow,USA,F,SE,
ECOLOGY,2013,94,1,SE,Amy D Rosemond,USA,F,SE,
ECOLOGY,2012,93,1,SE,Amy D Rosemond,USA,F,SE,
ECOLOGY,2012,93,1,SE,Andre M de Roos,Netherlands,M,SE,
ECOLOGY,2011,92,1,SE,Andre M de Roos,Netherlands,M,SE,
ECOLOGY,2010,91,1,SE,Andre M de Roos,Netherlands,M,SE,
ECOLOGY,2009,90,1,SE,Andre M de Roos,Netherlands,M,SE,
ECOLOGY,2008,89,1,SE,Andre M de Roos,Netherlands,M,SE,
ECOLOGY,2007,88,1,SE,Andre M de Roos,Netherlands,M,SE,
ECOLOGY,2006,87,1,SE,Andre M de Roos,Netherlands,M,SE,
ECOLOGY,2012,93,1,SE,Andrea H Lloyd,USA,F,SE,
ECOLOGY,2011,92,1,SE,Andrea H Lloyd,USA,F,SE,
ECOLOGY,2010,91,1,SE,Andrea H Lloyd,USA,F,SE,
ECOLOGY,2009,90,1,SE,Andrea H Lloyd,USA,F,SE,
ECOLOGY,2008,89,1,SE,Andrea H Lloyd,USA,F,SE,
ECOLOGY,2007,88,1,SE,Andrea H Lloyd,USA,F,SE,
ECOLOGY,2006,87,1,SE,Andrea H Lloyd,USA,F,SE,
ECOLOGY,1999,80,1,BE,Andrew D Taylor,USA,M,SE,
ECOLOGY,1998,79,1,BE,Andrew D Taylor,USA,M,SE,
ECOLOGY,1997,78,1,BE,Andrew D Taylor,USA,M,SE,
ECOLOGY,1996,77,1,BE,Andrew D Taylor,USA,M,SE,
ECOLOGY,2013,94,1,SE,Andrew O Finley,USA,M,SE,
ECOLOGY,2012,93,1,SE,Andrew O Finley,USA,M,SE,
ECOLOGY,2002,83,1,BE,Andrew R Solow,USA,M,SE,
ECOLOGY,2001,82,1,BE,Andrew R Solow,USA,M,SE,
ECOLOGY,2000,81,1,BE,Andrew R Solow,USA,M,SE,
ECOLOGY,1999,80,1,BE,Andrew R Solow,USA,M,SE,
ECOLOGY,1998,79,1,BE,Andrew R Solow,USA,M,SE,
ECOLOGY,1997,78,1,BE,Andrew R Solow,USA,M,SE,
ECOLOGY,2009,90,1,SE,Andrew Sih,USA,M,SE,
ECOLOGY,2008,89,1,SE,Andrew Sih,USA,M,SE,
ECOLOGY,2007,88,1,SE,Andrew Sih,USA,M,SE,
ECOLOGY,2006,87,1,SE,Andrew Sih,USA,M,SE,
ECOLOGY,2005,86,1,SE,Andrew Sih,USA,M,SE,
ECOLOGY,2004,85,1,SE,Andrew Sih,USA,M,SE,
ECOLOGY,2012,93,1,SE,Anne M Bronikowski,USA,F,SE,
ECOLOGY,2011,92,1,SE,Anne M Bronikowski,USA,F,SE,
ECOLOGY,2010,91,1,SE,Anne M Bronikowski,USA,F,SE,
ECOLOGY,2009,90,1,SE,Anne M Bronikowski,USA,F,SE,
ECOLOGY,2008,89,1,SE,Anne M Bronikowski,USA,F,SE,
ECOLOGY,2007,88,1,SE,Anne M Bronikowski,USA,F,SE,
ECOLOGY,2006,87,1,SE,Anne M Bronikowski,USA,F,SE,
ECOLOGY,2005,86,1,SE,Anthony Ives,USA,M,SE,
