JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
JECOL,1985,73,1,EIC,B. Hopkins,UK,M,EIC,
JECOL,1985,73,1,SE,D. A. Williams,UK,M,SE,
JECOL,1986,74,1,SE,D. A. Williams,UK,M,SE,
JECOL,1987,75,1,SE,D. A. Williams,UK,M,SE,
JECOL,1988,76,1,SE,D. A. Williams,UK,M,SE,
JECOL,1989,77,1,SE,D. A. Williams,UK,M,SE,
JECOL,1990,78,1,SE,D. A. Williams,UK,M,SE,
JECOL,1987,75,1,SE,M. J. Crawley,UK,M,SE,
JECOL,1990,78,1,SE,M. S. Davies,UK,M,SE,
JECOL,1991,79,1,SE,M. S. Davies,UK,M,SE,
JECOL,1992,80,1,SE,M. S. Davies,UK,M,SE,
JECOL,1993,81,1,SE,M. S. Davies,UK,M,SE,
JECOL,2011,99,1,SE,Amy Austin,Argentina,F,SE,
JECOL,2012,100,1,SE,Amy Austin,Argentina,F,SE,
JECOL,2013,101,1,SE,Amy Austin,Argentina,F,SE,
JECOL,2014,102,1,AE,Amy T Austin,Argentina,F,AE,
JECOL,2005,93,1,SE,Angela Moles,Australia,F,SE,
JECOL,2006,94,1,SE,Angela Moles,Australia,F,SE,
JECOL,2007,95,1,SE,Angela Moles,Australia,F,SE,
JECOL,2008,96,1,SE,Angela Moles,Australia,F,SE,
JECOL,2009,97,1,SE,Angela Moles,Australia,F,SE,
JECOL,2010,98,1,SE,Angela Moles,Australia,F,SE,
JECOL,2011,99,1,SE,Angela Moles,Australia,F,SE,
JECOL,2012,100,1,SE,Angela Moles,Australia,F,SE,
JECOL,2008,96,1,SE,Bettina Engelbrecht,Germany,F,SE,
JECOL,2009,97,1,SE,Bettina Engelbrecht,Germany,F,SE,
JECOL,2014,102,1,SE,Caroline Brophy,Ireland,F,SE,
JECOL,2010,98,1,SE,Ellen Damschen,USA,F,SE,
JECOL,2011,99,1,SE,Ellen Damschen,USA,F,SE,
JECOL,2014,102,1,SE,Franciska De Vires,UK,F,SE,
JECOL,2014,102,1,SE,Frida Piper,Chile,F,SE,
JECOL,2013,101,1,SE,Gerlinde de Deyn,Netherlands,F,SE,
JECOL,2014,102,1,SE,Gerline Barbra de Deyn,Netherlands,F,SE,
JECOL,2005,93,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2006,94,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2007,95,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2008,96,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2009,97,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2010,98,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2011,99,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2012,100,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,2013,101,1,SE,Hanna Tuomisto,Finland,F,SE,
JECOL,1995,83,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,1996,84,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,1997,85,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,1998,86,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,1999,87,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2000,88,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2001,89,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2002,90,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2003,91,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2004,92,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2005,93,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2006,94,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2007,95,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2008,96,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2009,97,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2010,98,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2011,99,1,SE,Honor C. Prentice,Sweden,F,SE,
JECOL,2012,100,1,SE,Honor C. Prentice,Sweden,F,SE,
