JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
JTE,1985,1,1,SE,Jiro Kikkawa,Australia,M,SE,
JTE,1990,6,1,SE,Jiro Kikkawa,Australia,M,SE,
JTE,1991,7,1,SE,Jiro Kikkawa,Australia,M,SE,
JTE,1992,8,1,SE,Jiro Kikkawa,Australia,M,SE,
JTE,1993,9,1,SE,Jiro Kikkawa,Australia,M,SE,
JTE,1994,10,1,SE,Jiro Kikkawa,Australia,M,SE,
JTE,1996,12,1,SE,Roger Kitching,Australia,M,SE,
JTE,1997,13,1,SE,Roger Kitching,Australia,M,SE,
JTE,1990,6,1,SE,Francois P Malaisse,Belgium,M,SE,
JTE,1991,7,1,SE,Francois P Malaisse,Belgium,M,SE,
JTE,1992,8,1,SE,Francois P Malaisse,Belgium,M,SE,
JTE,1993,9,1,SE,Francois P Malaisse,Belgium,M,SE,
JTE,1994,10,1,SE,Francois P Malaisse,Belgium,M,SE,
JTE,1999,15,1,SE,Rene G A Boot,Bolivia,M,SE,
JTE,2000,16,1,SE,Rene G A Boot,Bolivia,M,SE,
JTE,1999,15,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2000,16,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2001,17,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2002,18,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2003,19,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2004,20,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2005,21,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2006,22,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2007,23,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2008,24,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2009,25,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2010,26,2,SE,Pierre-Michel Forget,France,M,SE,
JTE,2011,27,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2012,28,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2013,29,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,2014,30,1,SE,Pierre-Michel Forget,France,M,SE,
JTE,1998,14,1,SE,Caroline E G Tutin,Gabon,F,SE,
JTE,1999,15,1,SE,Caroline E G Tutin,Gabon,F,SE,
JTE,2000,16,1,SE,Caroline E G Tutin,Gabon,F,SE,
JTE,2001,17,1,SE,Caroline E G Tutin,Gabon,F,SE,
JTE,2002,18,1,SE,Caroline E G Tutin,Gabon,F,SE,
JTE,2003,19,1,SE,Caroline E G Tutin,Gabon,F,SE,
