JOURNAL,YEAR,VOLUME,ISSUE,TITLE,NAME,COUNTRY,GENDER,CATEGORY,NOTES
NAJFM,2006,26,1,AE,Adrian Spidle,USA,M,SE,
NAJFM,2005,25,1,AE,Adrian Spidle,USA,M,SE,
NAJFM,2004,24,1,AE,Adrian Spidle,USA,M,SE,
NAJFM,1987,7,1,AE,Albert E. Giorgi,USA,M,SE,
NAJFM,1989,9,1,AE,Albert V. Tyler,USA,M,SE,
NAJFM,1988,8,1,AE,Albert V. Tyler,USA,M,SE,
NAJFM,1992,12,1,AE,Alexander V. Zale,USA,M,SE,
NAJFM,1991,11,1,AE,Alexander V. Zale,USA,M,SE,
NAJFM,1985,5,1,AE,Allen A. Elser,USA,M,SE,
NAJFM,1984,4,1,AE,Allen A. Elser,USA,M,SE,
NAJFM,1986,6,1,AE,Almo J. Cordone,USA,M,SE,
NAJFM,1985,5,1,AE,Almo J. Cordone,USA,M,SE,
NAJFM,2010,30,1,AE,Andrew H. Fayram,USA,M,SE,
NAJFM,2009,29,1,AE,Andrew H. Fayram,USA,M,SE,
NAJFM,2008,28,1,AE,Andrew H. Fayram,USA,M,SE,
NAJFM,2007,27,1,AE,Andrew H. Fayram,USA,M,SE,
NAJFM,2006,26,1,AE,Andrew H. Fayram,USA,M,SE,
NAJFM,2005,25,1,AE,Andrew H. Fayram,USA,M,SE,
NAJFM,1998,18,1,AE,Andrew J. Applegate,USA,M,SE,
NAJFM,1997,17,1,AE,Andrew J. Applegate,USA,M,SE,
NAJFM,1996,16,1,AE,Andrew J. Applegate,USA,M,SE,
NAJFM,2013,33,1,AE,Andrij Z. Horodysky,USA,M,SE,
NAJFM,2012,32,1,AE,Andrij Z. Horodysky,USA,M,SE,
NAJFM,2011,31,1,AE,Andrij Z. Horodysky,USA,M,SE,
NAJFM,2010,30,1,AE,Anthony C. Fiumera,USA,M,SE,
NAJFM,2009,29,1,AE,Anthony C. Fiumera,USA,M,SE,
NAJFM,1990,10,1,AE,Anthony J. Fedler,USA,M,SE,
NAJFM,1989,9,1,AE,Anthony J. Felder,USA,M,SE,
NAJFM,1988,8,1,AE,Anthony J. Felder,USA,M,SE,
NAJFM,1995,15,1,AE,Barbara A. Knuth,USA,F,SE,
NAJFM,1997,17,1,AE,Barry L. Johnson,USA,M,SE,
NAJFM,1996,16,1,AE,Barry L. Johnson,USA,M,SE,
NAJFM,1995,15,1,AE,Barry L. Johnson,USA,M,SE,
NAJFM,2013,33,1,AE,Ben C. Neely,USA,M,SE,
NAJFM,2012,32,1,AE,Ben C. Neely,USA,M,SE,
NAJFM,2013,33,1,AE,Benny Gallaway,USA,M,SE,
NAJFM,1989,9,1,AE,Bernard L. Griswold,USA,M,SE,
NAJFM,1988,8,1,AE,Bernard L. Griswold,USA,M,SE,
NAJFM,1993,13,1,AE,Bernard Megrey,USA,M,SE,
NAJFM,1992,12,1,AE,Bernard Megrey,USA,M,SE,
NAJFM,1994,14,1,AE,Bonnie J. McCay,USA,F,SE,
NAJFM,1993,13,1,AE,Bonnie J. McCay,USA,F,SE,
NAJFM,1993,13,1,AE,Bradford E. Brown,USA,M,SE,
NAJFM,1992,12,1,AE,Bradford E. Brown,USA,M,SE,
NAJFM,2004,24,1,AE,Bradford G. Parsons,USA,M,SE,
NAJFM,2003,23,1,AE,Bradford G. Parsons,USA,M,SE,
NAJFM,2002,22,1,AE,Bradford G. Parsons,USA,M,SE,
NAJFM,2001,21,1,AE,Bradford G. Parsons,USA,M,SE,
NAJFM,2000,20,1,AE,Bradley B. Shepard,USA,M,SE,
NAJFM,2008,28,1,AE,Brett B. Roper,USA,M,SE,
NAJFM,2007,27,1,AE,Brett B. Roper,USA,M,SE,
NAJFM,1999,19,1,AE,Brett M. Johnson,USA,M,SE,
NAJFM,2010,30,1,AE,Brian L. Sloss,USA,M,SE,
NAJFM,2009,29,1,AE,Brian L. Sloss,USA,M,SE,
NAJFM,1995,15,1,AE,Bruce E. Rieman,USA,M,SE,
NAJFM,1994,14,1,AE,Bruce E. Rieman,USA,M,SE,
