JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
AGRONOMY,2014,106,1,AE,Ardeshir,,Adeli,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,David,W,Archer,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Francisco,J,Arriaga,,USA,M,SE,,University of Wisconsin-Madison
AGRONOMY,2014,106,1,AE,Varaprasad,,Bandaru,,USA,M,SE,,University of Maryland
AGRONOMY,2014,106,1,AE,JiSu,,Bang,,USA,F,SE,,Syngenta Crop Protection
AGRONOMY,2014,106,1,TE,David,J,Barker,,USA,M,SE,,The Ohio State University 
AGRONOMY,2014,106,1,AE,Luca,,Bechini,,Italy,M,SE,,University of Milan
AGRONOMY,2014,106,1,AE,Dinesh,,Benbi,,India,M,SE,,Punjab Agricultural University
AGRONOMY,2014,106,1,AE,Stanford,,Blade,,Canada,M,SE,,University of Alberta
AGRONOMY,2014,106,1,AE,Humberto,,Blanco,,USA,M,SE,,University of Nebraska
AGRONOMY,2014,106,1,AE,Lucas,,Borras,,Argentina,M,SE,,National University of Rosario
AGRONOMY,2014,106,1,AE,Sidney,,Bosworth,,USA,M,SE,,University of Vermont
AGRONOMY,2014,106,1,TE,H,Arnold,Bruns,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Ryan,,Busby,,USA,M,SE,,US Army ERDC-CERL
AGRONOMY,2014,106,1,AE,Francisco,,Calderon,,USA,M,SE,Also United States Department of Agriculture-Agricultural Research Service,Central Great Plains Research Station
AGRONOMY,2014,106,1,AE,Amitava,,Chatterjee,,USA,M,SE,,North Dakota State University
AGRONOMY,2014,106,1,AE,Charles,,Chen,,USA,M,SE,,Auburn University
AGRONOMY,2014,106,1,AE,Ignacio,,Ciampitti,,USA,M,SE,The Throckmorton Plant Sciences Center is part of the KSU,Kansas State University
AGRONOMY,2014,106,1,TE,David,,Clay,,USA,M,SE,,South Dakota State University
AGRONOMY,2014,106,1,AE,Jeffrey,,Coulter,,USA,M,SE,,University of Minnesota
AGRONOMY,2014,106,1,AE,William,,Cox,,USA,M,SE,,Cornell University
AGRONOMY,2014,106,1,AE,Earl,,Creech,,USA,M,SE,,Utah State University
AGRONOMY,2014,106,1,AE,William,T,Crow,,USA,M,SE,,University of Florida
AGRONOMY,2014,106,1,AE,Kefyalew,G,Desta,,USA,M,SE,,Montana State University
AGRONOMY,2014,106,1,TE,Dorivar,Ruiz,Diaz,,USA,M,SE,Technical Editor (TE),Kansas State University
AGRONOMY,2014,106,1,EIC,Warren,A,Dick,,USA,M,EIC,,The Ohio State University
AGRONOMY,2014,106,1,AE,Michael,,Dodd,,New Zealand,M,SE,,AgResearch Ltd
AGRONOMY,2014,106,1,AE,Hezhong,,Dong,,China,M,SE,,Shandong Academy of Agricultural Sciences
AGRONOMY,2014,106,1,ME,Susan,,Ernst,,USA,F,OTHER,Managing Editor (ME),The Agronomy Journal
AGRONOMY,2014,106,1,AE,Vasilia,,Fasoula,,USA,F,SE,,University of Georgia
AGRONOMY,2014,106,1,AE,Guanglong,,Feng,,USA,M,SE,,Washington State University
AGRONOMY,2014,106,1,AE,Steven,,Fransen,,USA,M,SE,,Washington State University
AGRONOMY,2014,106,1,AE,John,,Fulton,,USA,M,SE,,Auburn University
AGRONOMY,2014,106,1,AE,David,,Gardner,,USA,M,SE,,The Ohio State University
AGRONOMY,2014,106,1,AE,Ali,,Gazanchian,,Iran,M,SE,,Khorasan Agricultural & Natural Resources Research Center
AGRONOMY,2014,106,1,AE,Nancy,,Gift,,USA,F,SE,,Berea College
AGRONOMY,2014,106,1,TE,Barry,S,Glaz,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Hero,,Gollany,,USA,F,SE,,Oregon State University
AGRONOMY,2014,106,1,AE,Prasanna,H,Gowda,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Greta,G,Gramig,,USA,F,SE,,North Dakota State University
AGRONOMY,2014,106,1,AE,Robert,F,Grant,,Canada,M,SE,,University of Alberta
AGRONOMY,2014,106,1,AE,John,,Guretzky,,USA,M,SE,,University of Nebraska
AGRONOMY,2014,106,1,AE,Fikru,J,Haile,,USA,M,SE,,DuPont Pioneer
AGRONOMY,2014,106,1,AE,Jerry,,Hatfield,,USA,M,SE,* The National Laboratory for Agriculture and the Environment is part of the USDA,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Ronnie,W,Heiniger,,USA,M,SE,,NC State University
AGRONOMY,2014,106,1,AE,Jose,A,Hernandez,,USA,M,SE,,University of Minnesota
AGRONOMY,2014,106,1,AE,Johnathon,D,Holman,,USA,M,SE,,Kansas State University
AGRONOMY,2014,106,1,AE,David,L,Holshouser,,USA,M,SE,,Virginia Tech
AGRONOMY,2014,106,1,AE,E,Raymond,Hunt,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Terrance,M,Hurley,,USA,M,SE,,University of Minnesota
AGRONOMY,2014,106,1,AE,Qingzhen,,Jiang,,USA,M,SE,,Samuel Roberts Noble Foundation
AGRONOMY,2014,106,1,AE,Jane,,Johnson,,USA,F,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,David,L,Jones,,Wales,M,SE,,Bangor University
AGRONOMY,2014,106,1,AE,Vijaya,G,Kakani,,USA,M,SE,,Oklahoma State University
AGRONOMY,2014,106,1,AE,Douglas,E,Karcher,,USA,M,SE,,University of Arkansas
AGRONOMY,2014,106,1,AE,Solomon,K,Kariuki,,USA,M,SE,,University of Massachusetts Amherst
AGRONOMY,2014,106,1,AE,Thomas,C,Kaspar,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Kurt,C,Kersebaum,,Germany,M,SE,,Institute for Landscape System Analysis
AGRONOMY,2014,106,1,AE,Soo-Hyung,,Kim,,USA,M,SE,,University of Washington
AGRONOMY,2014,106,1,AE,James,,Kiniry,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,John,,Kovar,,USA,M,SE,,United States Department of Agriculture-Agricultural Research Service
AGRONOMY,2014,106,1,AE,Robert,,Kratochvil,,USA,M,SE,,University of Maryland
AGRONOMY,2014,106,1,AE,Chitranjan,,Kumar,,India,M,SE,,University of Allahabad
AGRONOMY,2014,106,1,AE,Kuldip,,Kumar,,USA,M,SE,,Metropolitan Water Reclamation District of Greater Chicago
AGRONOMY,2014,106,1,TE,Peter,,Kyveryga,,USA,M,SE,,"Analytics, Iowa Soybean Association"
AGRONOMY,2014,106,1,AE,Joseph,,Lauer,,USA,M,SE,,University of Wisconsin-Madison
AGRONOMY,2014,106,1,AE,Dokyoung,,Lee,,USA,M,SE,,University of Illinois 
AGRONOMY,2014,106,1,AE,Rocky,,Lemus,,USA,M,SE,,Mississippi State University
AGRONOMY,2014,106,1,AE,Feng-Min,,Li,,China,F,SE,,Lanzhou University
