JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
AREES,2014,45,,AE,Daniel,,Simberloff,,USA,M,AE,,University of Tennessee
AREES,2013,44,,AE,Daniel,,Simberloff,,USA,M,AE,,University of Tennessee
AREES,2014,45,,E,Douglas,J,Futuyma,,USA,M,EIC,,State University of New York
AREES,2013,44,,E,Douglas,J,Futuyma,,USA,M,EIC,,State University of New York
AREES,2014,45,,AE,H,Bradley,Shaffer,,USA,M,AE,,University of California
AREES,2013,44,,AE,H,Bradley,Shaffer,,USA,M,AE,,University of California
AREES,2014,45,,EC,Kasutuv,Roy,Roy,,USA,M,SE,,University of California San Diego
AREES,2013,44,,EC,Kasutuv,Roy,Roy,,USA,M,SE,,University of California San Diego
AREES,2014,45,,EC,Mary,Eleanor,Power,,USA,F,SE,,University of California Berkeley
AREES,2013,44,,EC,Mary,Eleanor,Power,,USA,F,SE,,University of California Berkeley
AREES,2013,44,,EC,Michael,D,Purugganan,,USA,M,SE,,New York University
AREES,2014,45,,EC,Pedro,,Jordano,,Spain,M,SE,,Dona Ana Biological Station EBD-CSIC
AREES,2013,44,,EC,Pedro,,Jordano,,Spain,M,SE,,Dona Ana Biological Station EBD-CSIC
AREES,2014,45,,EC,Robert,E,Ricklefs,,USA,M,SE,,UMSL
AREES,2013,44,,EC,Robert,B,Jackson,,USA,M,SE,EditorialCommittee(EC),Duke
AREES,2013,44,,EC,Robert,E,Ricklefs,,USA,M,SE,,UMSL
AREES,2014,45,,EC,Sarah,E,Hobbie,,USA,F,SE,EditorialCommittee(EC),University of Minnesota
AREES,2014,45,,EC,Sarah,P,Otto,,Canada,F,SE,,University of British Columbia
AREES,2013,44,,EC,Sarah,P,Otto,,Canada,F,SE,,UniversityofBritishColumbia
