JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
BIOCON,2014,169,,EB,Philip,AR,Hockey,,South Africa,M,SE,Percy FitzPatrick Institute of African Ornithology,University of Cape Town
BIOCON,2014,169,,E,Karen,H,Beard,,USA,F,AE,,Utah State University
BIOCON,2014,169,,EB,Barry,W,Brook,,Australia,M,SE,(EB) Editorial Board,The University of Adelaide
BIOCON,2014,169,,E,Richard,T,Corlett,,China,M,AE,,Chinese Academy of Sciences
BIOCON,2014,169,,E,Mark,J,Costello,,New Zealand,M,AE,,University of Auckland
BIOCON,2014,169,,EB,Carlos,R,Fonseca,,Brazil,M,SE,,Universidade Federal do Rio Grande do Norte (UFRN)
BIOCON,2014,169,,EB,Kevin,J,Gaston,,UK,M,SE,,"University of Exeter, Penryn campus"
BIOCON,2014,169,,EB,Steve,J,Hawkins,,UK,M,SE,,University of Southampton
BIOCON,2014,169,,EB,Keith,J,Kirby,,UK,M,SE,,English Nature
BIOCON,2014,169,,E,Lian,Pin,Koh,,Australia,M,AE,,The University of Adelaide
BIOCON,2014,169,,EB,William,F,Laurance,,Panama,M,SE,,Smithsonian Tropical Research Institute
BIOCON,2014,169,,EB,Tien,M,Lee,,USA,M,SE,,Columbia University 
BIOCON,2014,169,,EB,David,B,Lindenmayer,,Australia,M,SE,,Australian National University
BIOCON,2014,169,,E,Julie,L,Lockwood,,USA,F,AE,,Rutgers University
BIOCON,2014,169,,EB,Rafael,D,Loyola,,Brazil,M,SE,,"Universidade Federal de Goias,"
BIOCON,2014,169,,EB,Robert,H,Marrs,,UK,M,SE,,School of Biological Sciences
BIOCON,2014,169,,EB,Jean-Paul,,Metzger,,Brazil,M,SE,,University of Sao Paulo
BIOCON,2014,169,,EB,Peter,B,Moyle,,USA,M,SE,,"University of California, Davis  "
BIOCON,2014,169,,EB,Tim,R,New,,Australia,M,SE,,La Trobe University
BIOCON,2014,169,,E,Robin,J,Pakeman,,Scotland,M,AE,,The Macaulay Land Use Research Institute
BIOCON,2014,169,,EIC,Richard,B,Primack,,USA,M,EIC,,Boston University
BIOCON,2014,169,,E,Andrew,S,Pullin,,UK,M,AE,,University of Wales
BIOCON,2014,169,,E,Tracey,J,Regan,,Australia,F,AE,,The University of Melbourne
BIOCON,2014,169,,EB,William,J,Ripple,,USA,M,SE,,Oregon State University
BIOCON,2014,169,,EB,Fred,J,Rumsey,,UK,M,SE,,The Natural History Museum
BIOCON,2014,169,,EB,Denis,A,Saunders,,Australia,M,SE,,CSIRO Sustainable Ecosystems 
BIOCON,2014,169,,EB,Mark,W,Schwartz,,USA,M,SE,,"University of California, Davis  "
BIOCON,2014,169,,EB,Cagan,H,Sekercioglu,,USA,M,SE,,University of Utah
BIOCON,2014,169,,EB,Michael,R,Willig,,USA,M,SE,,University of Connecticut
BIOCON,2014,169,,EB,Atte,,Moilanen,,Finland,M,SE,,University of Helsinki 
BIOCON,2014,169,,EB,Brian,,Moss,,UK,M,SE,,University of Liverpool 
BIOCON,2014,169,,EB,Eric,,Duffey,,France,M,SE,,Chez Gouillard 
BIOCON,2014,169,,EB,Eve,,McDonald-Madden,,Australia,F,SE,,University Of Queensland
BIOCON,2014,169,,EB,Falk,,Huettmann,,USA,M,SE,,"University of Alaska, Fairbanks "
BIOCON,2014,169,,EB,Jacob,,Pollock,,USA,M,SE,,"University of California, Santa Cruz"
BIOCON,2014,169,,EB,Jagdish,,Krishnaswamy,,India,M,SE,,"Royal Enclave, Srirampura "
BIOCON,2014,169,,EB,Jeffrey,,Wielgus,,USA,M,SE,,World Resources Institute
BIOCON,2014,169,,EB,Jin,,Chen,,China,M,SE,,Chinese Academy of Sciences
BIOCON,2014,169,,EB,Laurent,,Godet,,France,M,SE,,Universite de Nantes
BIOCON,2014,169,,EB,Lena,,Gustafsson,, Sweden,F,SE,,Swedish University of Agricultural Sciences
BIOCON,2014,169,,E,Mauro,,Galetti,,Brazil,M,AE,,Universidade Estadual Paulista
BIOCON,2014,169,,EB,Peter,,Poschlod,,Germany,M,SE,,University of Regensburg
BIOCON,2014,169,,BRE,Philip,,Cafaro,,USA,M,Other,(BRE) Book Review Editor,Colorado State University
BIOCON,2014,169,,EB,Phill,,Watts,,UK,M,SE,,University of Liverpool
BIOCON,2014,169,,EB,Regis,,Cereghino,,France,M,SE,,University of Toulouse
BIOCON,2014,169,,EB,Rochelle,,Constantine,,New Zealand,F,SE,,University of Auckland
BIOCON,2014,169,,EB,Serge,,Wich,,UK,M,SE,,Liverpool John Moores University
BIOCON,2014,169,,EB,Tim,,Caro,,USA,M,SE,,"University of California, Davis"
BIOCON,2014,169,,E,Vincent,,DeVictor,,France,M,AE,,Universite Montpellier II Place Eugene
BIOCON,2014,169,,EB,Zhi-Gang,,Jiang,,China,M,SE,,Chinese Academy of Sciences
