JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
ECOGRAPHY,1985,8,1,AE,Nils,Christian,Stenseth,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1985,8,1,DEIC,Odd,,Halvorsen,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1985,8,1,AE,Per,,Sunding,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1985,8,1,AE,Reidar,,Borgstrom,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1985,8,1,EIC,Rolf,,Vik,,Norway,M,EIC,Holarctic Ecology through 1991,
ECOGRAPHY,1986,9,1,AE,Nils,Christian,Stenseth,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1986,9,1,DEIC,Odd,,Halvorsen,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1986,9,1,AE,Per,,Sunding,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1986,9,1,AE,Reidar,,Borgstrom,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1986,9,1,EIC,Rolf,,Vik,,Norway,M,EIC,Holarctic Ecology through 1991,
ECOGRAPHY,1987,10,1,AE,Nils,Christian,Stenseth,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1987,10,1,DEIC,Odd,,Halvorsen,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1987,10,1,AE,Per,,Sunding,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1987,10,1,AE,Reidar,,Borgstrom,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1987,10,1,EIC,Rolf,,Vik,,Norway,M,EIC,Holarctic Ecology through 1991,
ECOGRAPHY,1988,11,1,AE,Nils,Christian,Stenseth,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1988,11,1,DEIC,Odd,,Halvorsen,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1988,11,1,AE,Per,,Sunding,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1988,11,1,AE,Reidar,,Borgstrom,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1988,11,1,EIC,Rolf,,Vik,,Norway,M,EIC,Holarctic Ecology through 1991,
ECOGRAPHY,1989,12,1,AE,Nils,Christian,Stenseth,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1989,12,1,DEIC,Odd,,Halvorsen,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1989,12,1,AE,Per,,Sunding,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1989,12,1,AE,Reidar,,Borgstrom,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1989,12,1,EIC,Rolf,,Vik,,Norway,M,EIC,Holarctic Ecology through 1991,
ECOGRAPHY,1990,13,1,AE,Nils,Christian,Stenseth,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1990,13,1,DEIC,Odd,,Halvorsen,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1990,13,1,AE,Per,,Sunding,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1990,13,1,AE,Reidar,,Borgstrom,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1990,13,1,EIC,Rolf,,Vik,,Norway,M,EIC,Holarctic Ecology through 1991,
ECOGRAPHY,1991,14,1,AE,Nils,Christian,Stenseth,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1991,14,1,DEIC,Odd,,Halvorsen,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1991,14,1,AE,Per,,Sunding,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1991,14,1,AE,Reidar,,Borgstrom,,Norway,M,AE,Holarctic Ecology through 1991,
ECOGRAPHY,1991,14,1,EIC,Rolf,,Vik,,Norway,M,EIC,Holarctic Ecology through 1991,
ECOGRAPHY,1992,15,1,AEIC,Nils,,Malmer,,Sweden,M,EIC,,
ECOGRAPHY,1993,16,1,EIC,Sven,,Jonasson,,Denmark,M,EIC,,
ECOGRAPHY,1994,17,1,EIC,Sven,,Jonasson,,Denmark,M,EIC,,
ECOGRAPHY,1995,18,1,ME,Linus,,Svensson,,Sweden,,other,,
