JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
EVOL,2007,61,,AE,Patrick,,Abbot,,USA,M,SE,, Vanderbilt University
EVOL,2008,62,,AE,Patrick,,Abbot,,USA,M,SE,, Vanderbilt University
EVOL,2009,63,,AE,Patrick,,Abbot,,USA,M,SE,, Vanderbilt University
EVOL,2012,66,,AE,Ehab,,Abouheif,,Canada,,SE,,McGill University
EVOL,2013,67,,AE,Ehab,,Abouheif,,Canada,,SE,,McGill University
EVOL,2014,68,,AE,Ehab,,Abouheif,,Canada,,SE,,McGill University
EVOL,1995,49,,AE,Peter,A,Abrams,,USA,M,SE,, University of Minnesota
EVOL,1996,50,,AE,Peter,A,Abrams,,USA,M,SE,, University of Maryland
EVOL,1994,48,,AE,Pfter,A,Abrams,,Canada,M,SE,, University of British Columbia
EVOL,2013,67,,AE,Dean,,Adams,,USA,,SE,,Dept of Ecology
EVOL,2014,68,,AE,Dean,,Adams,,USA,,SE,,Dept of Ecology
EVOL,2015,69,,AE,Dean,,Adams,,USA,,SE,, Iowa State University
EVOL,2011,65,,AE,Aneil,,Agrawal,,Canada,,SE,, University of Toronto
EVOL,2012,66,,AE,Aneil,,Agrawal,,Canada,,SE,,Univeristy of Toronto
EVOL,2013,67,,AE,Aneil,,Agrawal,,Canada,,SE,,Univeristy of Toronto
EVOL,2006,60,,AE,Jon,,Agren,,Sweden,M,SE,, Uppsala University
EVOL,2007,61,,AE,Jon,,Agren,,Sweden,M,SE,, Uppsala University
EVOL,2008,62,,AE,Jon,,Agren,,Sweden,M,SE,, Uppsala University
EVOL,2012,66,,AE,Michael,,Alfaro,,USA,,SE,,Washington State University
EVOL,2015,69,,AE,Michael,,Alfaro,,USA,,SE,, UCLA
EVOL,2010,64,,AE,Mike,,Alfaro,,USA,M,SE,, University of California Los Angeles
EVOL,2011,65,,AE,Mike,,Alfaro,,USA,M,SE,, University of California Los Angeles
EVOL,1987,41,,AE,Fred,W,Allendorf,,USA,M,SE,, U. of Montana
EVOL,1988,42,,AE,Fred,W,Allendorf,,USA,M,SE,, U. of Montana
EVOL,1989,43,,AE,Fred,W,Allendorf,,USA,M,SE,, U. of Montana
EVOL,2013,67,,AE,Peter,,Andolfatto,,USA,,SE,,Dept of Ecology and Evolutionary Biology
EVOL,2014,68,,AE,Peter,,Andolfatto,,USA,,SE,,Dept of Ecology and Evolutionary Biology
EVOL,2015,69,,AE,Peter,,Andolfatto,,USA,,SE,, Princeton University
EVOL,2015,69,,AE,Amy,,Angert,,Canada,,SE,, University of British Columbia
EVOL,2014,68,,AE,Laine,,Anna-Liisa,,Finland,,SE,,University of Helsinki
EVOL,2014,68,,AE,Dean,,Antony,,USA,,SE,,University of Minnesota
EVOL,1987,41,,AE,Charles,F,Aquadro,,USA,M,SE,, Cornell U.
EVOL,1988,42,,AE,Charles,F,Aquadro,,USA,M,SE,, Cornell U.
EVOL,1989,43,,AE,Jonathan,,Arnold,,USA,M,SE,, University of Georgia
EVOL,1990,44,,AE,Jonathan,,Arnold,,USA,M,SE,, University of Georgia
EVOL,1991,45,,AE,Jonathan,,Arnold,,USA,M,SE,, University of Georgia
EVOL,2007,61,,AE,Goran,,Arnqvist,,Sweden,,SE,, University of Uppsala
EVOL,2008,62,,AE,Goran,,Arnqvist,,Sweden,,SE,, University of Uppsala
EVOL,2009,63,,AE,Goran,,Arnqvist,,Sweden,,SE,, University of Uppsala
EVOL,2001,55,,AE,Mary,V,Ashley,,USA,F,SE,, University of Illinois at Chicago
EVOL,2003,57,,AE,Mary,V,Ashley,,USA,F,SE,, University of Illinois at Chicago
EVOL,2002,56,,AE,Mary,V,Ashley,,USA,F,SE,, University of Illinois at Chicago
EVOL,1985,39,,Special Editor,William,R,Atchley,,USA,M,Other,, U. of Wisconsin
EVOL,1986,40,,AE,William,R,Atchley,,USA,M,SE,, U. of Wisconsin
EVOL,2006,60,,AE,David,J,Ayre,,Australia,M,SE,, University of Wollongong
EVOL,2007,61,,AE,David,J,Ayre,,Australia,M,SE,, University of Wollongong
EVOL,2015,69,,AE,Ricardo,,Azevedo,,USA,,SE,, University of Houston
EVOL,2007,61,,AE,Minus,Van,Baalen,,France,,SE,, Ecole Normale Sup~rieure
EVOL,2009,63,,AE,Minus,Van,Baalen,,France,,SE,, Ecole Normale Superieure
EVOL,2008,62,,AE,Minus,Van,Baalen,,France,,SE,, Ecole Normale Superieure
EVOL,2007,61,,AE,Alexander,,Badyaev,,USA,M,SE,, University of Arizona
EVOL,2008,62,,AE,Alexander,,Badyaev,,USA,M,SE,, University of Arizona
EVOL,2009,63,,AE,Alexander,,Badyaev,,USA,M,SE,, University of Arizona
EVOL,1989,43,,Managing Editor,J,David,Baldwin,,USA,M,Other,,
EVOL,1986,40,,Editorial Assistant,J,David,Baldwin,,USA,M,Other,,
EVOL,1987,41,,Editorial Assistant,J,David,Baldwin,,USA,M,Other,,
EVOL,1991,45,,Copy Editor,Anastazia,,Banaszak,,USA,F,Other,,
EVOL,1992,46,,Copy Editor,Anastazia,,Banaszak,,USA,F,Other,,
EVOL,1989,43,,AE,Spencer,Ch,Barrett,,Canada,,SE,, University of Toronto
EVOL,1990,44,,AE,Spencer,Ch,Barrett,,Canada,,SE,, University of Toronto
EVOL,1991,45,,AE,Spencer,Ch,Barrett,,Canada,,SE,, University of Toronto
EVOL,2010,64,,Editor,Nick,,Barton,,United Kingdom,M,,,
EVOL,2011,65,,Editor,Nick,,Barton,,United Kingdom,M,,,
EVOL,2001,55,,AE,David,A,Baum,,USA,M,SE,, Harvard University Herbaria
