JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
ECOLOGY,2014,95,1,Editor-in-Chief,Donald,R.,Strong,,USA,M,EIC,,
ECOLOGY,2014,95,1,Associate Editor-in-Chief,Brian,D.,Inouye,,USA,M,AE,,
ECOLOGY,2014,95,1,Associate Editor-in-Chief,Joseph,B.,Yavitt,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Lynn,S.,Adler,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Peter,B.,Adler,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,J.,P.Y.,Arnould,,Australia,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Richard,B.,Aronson,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,John,J.,Battles,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Elizabeth,T,Borer,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,John,F,Bruno,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Carla,E.,Caceres,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Bradley,J.,Cardinale,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Mark,H.,Carr,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Walter,P.,Carson,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Brenda,B.,Casper,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Jeannine,M.,Cavender-Bares,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Samantha,K.,Chapman,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Lorenzo,,Ciannelli,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Aimee,T,Classen,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Evan,,Cooch,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Richard,T.,Corlett,,China,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Kathryn,L.,Cottingham,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Elizabeth,E.,Crone,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,James,T,Cronin,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Randy,A.,Dahlgren,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Anthony,W.,D'Amato,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Todd,E.,Dawson,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Daniel,F,Doak,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,F,Stephen,Dobson,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Martin,W.,Doyle,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Lee,A.,Dyer,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Jane,,Elith,,Australia,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Micky,D.,Eubanks,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,R.,David,Evans,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Marco,,Festa-Bianchet,,Canada,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Stuart,,Findlay,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Alexander,S.,Flecker,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Gordon,A.,Fox,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Serita,D.,Frey,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Gregory,S.,Gilbert,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Nicholas,J.,Gotelli,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Jonathan,H.,Grabowski,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Michael,H.,Graham,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Brenda,J.,Grewell,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Edwin,D.,Grosholz,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Christine,V.,Hawkes,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Hugh,AL,Henry,,Canada,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Carlos,M.,Herrera,,Spain,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Helmut,,Hillebrand,,Germany,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Mark,A.,Hixon,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Jason,D.,Hoeksema,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,J.,Nathaniel,Holland,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Elizabeth,E.,Holmes,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,David,A.,Holway,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Benjamin,Z.,Houlton,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Feng,Sheng,Hu,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Jef,,Huisman,,Netherlands,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Kathryn,P.,Huyvaert,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Rebecca,E.,Irwin,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Julia,A.,Jones,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Bruce,E.,Kendall,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,A.,Marm,Kilpatrick,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Walter,D.,Koenig,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Peter,M.,Kotanen,,Canada,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Burt,P.,Kotler,,Israel,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Nathan,J.B.,Kraft,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Conrad,C.,Labandeira,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Kevin,D.,Lafferty,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Daniel,C.,Laughlin,,New Zealand,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Michael,,Lavine,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Sharon,P,Lawler,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Peter,R.,Leavitt,,Canada,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Martin,J.,Lechowicz,,Canada,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Jonathan,M.,Levine,,Switzerland,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,L.,Philip,Lounibos,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Frederick,C.,Meinzer,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Randall,J.,Mitchell,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Steven,G.,Morgan,,USA,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Douglas,W.,Morris,,Canada,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Sergio,,Navarrete,,Chile,M,SE,,
ECOLOGY,2014,95,1,Subject Editor,Gabrielle,A.,Nevitt,,USA,F,SE,,
ECOLOGY,2014,95,1,Subject Editor,Madan,K.,Oli,,USA,M,SE,,
