JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
FUNECOL,2010,24,1,associate editor,Edith,B,Allen,,USA,F,SE,,Riverside
FUNECOL,2011,25,1,associate editor,Edith,B,Allen,,USA,F,SE,,Riverside
FUNECOL,2012,26,1,associate editor,Edith,B,Allen,,USA,F,SE,,Riverside
FUNECOL,2013,27,1,associate editor,Edith,B,Allen,,USA,F,SE,,Riverside
FUNECOL,2014,28,1,associate editor,Edith,B,Allen,,USA,F,SE,,Riverside
FUNECOL,2015,29,1,associate editor,Edith,B,Allen,,USA,F,SE,,Riverside
FUNECOL,2006,20,1,associate editor,Michael,J,Angilletta,,USA,M,SE,,Indiana
FUNECOL,2007,21,2,associate editor,Michael,J,Angilletta,,USA,M,SE,,Indiana
FUNECOL,2008,22,1,associate editor,Michael,J,Angilletta,,USA,M,SE,,Indiana
FUNECOL,2009,23,1,associate editor,Michael,J,Angilletta,,USA,M,SE,,Indiana
FUNECOL,2010,24,1,associate editor,Michael,J,Angilletta,,USA,M,SE,,Indiana
FUNECOL,2011,25,1,associate editor,Michael,J,Angilletta,,USA,M,SE,,Indiana
FUNECOL,2010,24,1,associate editor,Niels,PR,Anten,,Netherlands,M,SE,,Utrecht
FUNECOL,2011,25,1,associate editor,Niels,PR,Anten,,Netherlands,M,SE,,Utrecht
FUNECOL,2012,26,1,associate editor,Niels,PR,Anten,,Netherlands,M,SE,,Utrecht
FUNECOL,2013,27,1,associate editor,Niels,PR,Anten,,Netherlands,M,SE,,Utrecht
FUNECOL,2014,28,1,associate editor,Niels,PR,Anten,,Netherlands,M,SE,,Utrecht
FUNECOL,2015,29,1,associate editor,Niels,PR,Anten,,Netherlands,M,SE,,Utrecht
FUNECOL,2001,15,1,editorial review board,Owen,K,Atkin,,England,M,SE,,York
FUNECOL,2002,16,1,editorial review board,Owen,K,Atkin,,England,M,SE,,York
FUNECOL,2003,17,1,editorial review board,Owen,K,Atkin,,England,M,SE,,York
FUNECOL,2004,18,1,editorial review board,Owen,K,Atkin,,England,M,SE,,York
FUNECOL,2005,19,1,editorial review board,Owen,K,Atkin,,England,M,SE,,York
FUNECOL,2006,20,1,associate editor,Owen,K,Atkin,,England,M,SE,,York
FUNECOL,2006,20,1,associate editor,Alexander,V,Badyaev,,USA,M,SE,,Arizona
FUNECOL,2007,21,2,associate editor,Alexander,V,Badyaev,,USA,M,SE,,Arizona
FUNECOL,2008,22,1,associate editor,Alexander,V,Badyaev,,USA,M,SE,,Arizona
FUNECOL,2001,15,1,editorial review board,Martin,G,Barker,,Scotland,M,SE,,Aberdeen
FUNECOL,2002,16,1,editorial review board,Martin,G,Barker,,Scotland,M,SE,,Aberdeen
FUNECOL,2003,17,1,editorial review board,Martin,G,Barker,,Scotland,M,SE,,Aberdeen
FUNECOL,2004,18,1,editorial review board,Martin,G,Barker,,Scotland,M,SE,,Aberdeen
FUNECOL,2005,19,1,editorial review board,Martin,G,Barker,,Scotland,M,SE,,Aberdeen
FUNECOL,1987,1,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1988,2,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1989,3,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1990,4,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1991,5,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1992,6,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1993,7,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1994,8,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1995,9,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1996,10,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1997,11,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1998,12,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,1999,13,1,editorial review board,Brian,L,Bayne,,England,M,SE,,Plymouth
FUNECOL,2006,20,1,associate editor,Craig,W,Benkman,,USA,M,SE,,Wyoming
FUNECOL,2007,21,2,associate editor,Craig,W,Benkman,,USA,M,SE,,Wyoming
FUNECOL,2008,22,1,associate editor,Craig,W,Benkman,,USA,M,SE,,Wyoming
FUNECOL,2009,23,1,associate editor,Wolf,U,Blanckenhorn,,Switzerland,M,SE,,Zurich
FUNECOL,2010,24,1,associate editor,Wolf,U,Blanckenhorn,,Switzerland,M,SE,,Zurich
FUNECOL,2011,25,1,associate editor,Wolf,U,Blanckenhorn,,Switzerland,M,SE,,Zurich
FUNECOL,2012,26,1,associate editor,Wolf,U,Blanckenhorn,,Switzerland,M,SE,,Zurich
FUNECOL,2013,27,1,associate editor,Wolf,U,Blanckenhorn,,Switzerland,M,SE,,Zurich
FUNECOL,2014,28,1,associate editor,Wolf,U,Blanckenhorn,,Switzerland,M,SE,,Zurich
FUNECOL,2015,29,1,associate editor,Wolf,U,Blanckenhorn,,Switzerland,M,SE,,Zurich
FUNECOL,1987,1,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1988,2,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1989,3,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1990,4,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1991,5,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1992,6,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1993,7,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1994,8,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1995,9,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1996,10,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1997,11,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1998,12,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,1999,13,1,editorial review board,Carol,L,Boggs,,USA,F,SE,,Colorado
FUNECOL,2006,20,1,associate editor,Carol,L,Boggs,,USA,F,SE,,Stanford
FUNECOL,2007,21,2,associate editor,Carol,L,Boggs,,USA,F,SE,,Stanford
FUNECOL,2008,22,1,associate editor,Carol,L,Boggs,,USA,F,SE,,Stanford
FUNECOL,2009,23,1,guest editor,Carol,L,Boggs,,USA,F,Special,,Stanford
FUNECOL,2006,20,1,associate editor,Gary,R,Bortolotti,,Canada,M,SE,,Saskatchewan
FUNECOL,2007,21,2,associate editor,Gary,R,Bortolotti,,Canada,M,SE,,Saskatchewan
FUNECOL,2008,22,1,associate editor,Gary,R,Bortolotti,,Canada,M,SE,,Saskatchewan
FUNECOL,2009,23,1,associate editor,Gary,R,Bortolotti,,Canada,M,SE,,Saskatchewan
FUNECOL,2010,24,1,associate editor,Gary,R,Bortolotti,,Canada,M,SE,,Saskatchewan
FUNECOL,2011,25,1,associate editor,Gary,R,Bortolotti,,Canada,M,SE,,Saskatchewan
FUNECOL,2006,20,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2007,21,2,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2008,22,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2009,23,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2010,24,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2011,25,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2012,26,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2013,27,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2014,28,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2015,29,1,associate editor,Mara,JI,Briones,,Spain,F,SE,,Vigo
FUNECOL,2011,25,1,associate editor,Alison,K,Brody,,USA,F,SE,,Vermont
FUNECOL,2012,26,1,associate editor,Alison,K,Brody,,USA,F,SE,,Vermont
FUNECOL,2013,27,1,associate editor,Alison,K,Brody,,USA,F,SE,,Vermont
FUNECOL,2014,28,1,associate editor,Alison,K,Brody,,USA,F,SE,,Vermont
FUNECOL,2015,29,1,associate editor,Alison,K,Brody,,USA,F,SE,,Vermont
FUNECOL,1987,1,1,editorial review board,Martyn,M,Caldwell,,USA,M,SE,,Utah
FUNECOL,1988,2,1,editorial review board,Martyn,M,Caldwell,,USA,M,SE,,Utah
FUNECOL,1989,3,1,editorial review board,Martyn,M,Caldwell,,USA,M,SE,,Utah
