JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
GCB,1995,1,1,Editor,Jeff,,Bale,,UK,M,AE,,University of Birmingham
GCB,1995,1,1,Editorial Advisory Board,Marilyn,,Ball,,Australia,F,SE,,
GCB,1995,1,1,Editorial Advisory Board,Fakhri,,Bazzaz,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Max,,Beran,,UK,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Tom,H,Blackburn,,Denmark,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Bill,,Block,,UK,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Gordan,,Bonan,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Sandra,,Brown,,USA,F,SE,,
GCB,1995,1,1,Editorial Advisory Board,Doug,,Capone,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Bruce,E,Chalker,,Australia,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,James,S,Clark,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Roger,C,Dahlman,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Bert,G,Drake,,USA,M,SE,,
GCB,1995,1,1,Editor,Paul,,Falkowski,,UK,M,AE,,Brookhaven National Laboratory
GCB,1995,1,1,Editor,Chris,,Field,,UK,M,AE,,Carnegie Institution
GCB,1995,1,1,Editorial Advisory Board,Inez,,Fung,,Canada,F,SE,,
GCB,1995,1,1,Editorial Advisory Board,Ilkka,,Hanski,,Finland,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Ann,,Henderson-Sellers,,Australia,F,SE,,
GCB,1995,1,1,Editorial Advisory Board,Tadaki,,Hirose,,Japan,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Patrick,,Holligan,,UK,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,R,L,Jefferies,,Canada,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Peter,,Kareiva,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Bruce,A,Kimball,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Roger,,Knowles,,Canada,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Christian,,Korner,,Switzerland,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Jeffrey,,Levinton,,USA,M,SE,,
GCB,1995,1,1,Chief Editor,Steve,,Long,,UK,M,EIC,,University of Essex
GCB,1995,1,1,Editorial Advisory Board,Pamela,,Matson,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Hal,,Mooney,,USA,M,SE,,
GCB,1995,1,1,Editorial Advisory Board,Marianne,,Mousseau,,France,F,SE,,
GCB,1995,1,1,Editorial Advisory Board,JC,,Murrell,,UK,M,SE,,
GCB,1995,1,1,Editor,Jim,,Prosser,,UK,M,AE,,University of Aberdeen
GCB,1995,1,1,Editorial Advisory Board,Hugo,,Rogers,,USA,M,SE,,
GCB,1995,1,1,Managing Editor,Harry,,Smith,,UK,M,,,University of Lancaster
GCB,1995,1,1,Production Editor,Richard,,Spilsbury,,UK,M,,,Blackwell Science Ltd
GCB,1996,2,,Editor,Jeff,,Bale,,UK,M,AE,,University of Birmingham
GCB,1996,2,,Editorial Advisory Board,Marilyn,,Ball,,Australia,F,SE,,
GCB,1996,2,,Editorial Advisory Board,Fakhri,,Bazzaz,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Max,,Beran,,UK,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Tom,H,Blackburn,,Denmark,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Bill,,Block,,UK,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Gordan,,Bonan,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Sandra,,Brown,,USA,F,SE,,
GCB,1996,2,,Editorial Advisory Board,Doug,,Capone,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Bruce,E,Chalker,,Australia,M,SE,,
GCB,1996,2,,Editorial Advisory Board,James,S,Clark,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Roger,C,Dahlman,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Bert,G,Drake,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Zvy,,Dubinsky,,Israel,M,SE,,
GCB,1996,2,,Editor,Paul,,Falkowski,,UK,M,AE,,Brookhaven National Laboratory
GCB,1996,2,,Editor,Chris,,Field,,UK,M,AE,,Carnegie Institution
GCB,1996,2,,Editorial Advisory Board,Inez,,Fung,,Canada,F,SE,,
GCB,1996,2,,Editorial Advisory Board,Ilkka,,Hanski,,Finland,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Ann,,Henderson-Sellers,,Australia,F,SE,,
GCB,1996,2,,Editorial Advisory Board,Tadaki,,Hirose,,Japan,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Patrick,,Holligan,,UK,M,SE,,
GCB,1996,2,,Editorial Advisory Board,R,L,Jefferies,,Canada,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Peter,,Kareiva,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Bruce,A,Kimball,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Roger,,Knowles,,Canada,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Christian,,Korner,,Switzerland,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Jeffrey,,Levinton,,USA,M,SE,,
GCB,1996,2,,Chief Editor,Steve,,Long,,UK,M,EIC,,University of Essex
GCB,1996,2,,Editorial Advisory Board,Pamela,,Matson,,USA,F,SE,,
GCB,1996,2,,Editorial Advisory Board,Hal,,Mooney,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Marianne,,Mousseau,,France,F,SE,,
GCB,1996,2,,Editorial Advisory Board,JC,,Murrell,,UK,M,SE,,
GCB,1996,2,,Editor,Jim,,Prosser,,UK,M,AE,,University of Aberdeen
GCB,1996,2,,Editorial Advisory Board,Hugo,,Rogers,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Osvaldo,,Sala,,Argentina,M,SE,,
GCB,1996,2,,Editorial Advisory Board,David,,Schimel,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,William,,Schlesinger,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Robert,,Scholes,,South Africa,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Hank,H,Schugart,,USA,M,SE,,
GCB,1996,2,,Editorial Advisory Board,ED,,Schulze,,Germany,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Ted,,Smayda,,USA,M,SE,,
GCB,1996,2,,Managing Editor,Harry,,Smith,,UK,M,,,University of Leichester
GCB,1996,2,,Editorial Advisory Board,Keith,,Smith,,UK,M,SE,,
GCB,1996,2,,Production Editor,Richard,,Spilsbury,,UK,M,,,Blackwell Science Ltd
GCB,1996,2,,Editorial Advisory Board,Nigel,E,Stork,,Australia,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Masayuki,M,Takahashi,,Japan,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Max,,Tilzer,,Germany,M,SE,,
GCB,1996,2,,Editorial Advisory Board,Bess,B,Ward,,USA,F,SE,,
GCB,1996,2,,Editorial Advisory Board,J,B,Whitaker,,UK,M,SE,,
GCB,1996,2,,Editorial Advisory Board,F,Ian,Woodward,,UK,M,SE,,
GCB,1997,3,1,Editor,Dennis,,Baldocchi,,USA,M,AE,,NOAA
GCB,1997,3,1,Editor,Jeff,,Bale,,UK,M,AE,,University of Birmingham
GCB,1997,3,1,Editorial Advisory Board,Marilyn,,Ball,,Australia,F,SE,,
GCB,1997,3,1,Editorial Advisory Board,Fakhri,,Bazzaz,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Max,,Beran,,UK,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Tom,H,Blackburn,,Denmark,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Bill,,Block,,UK,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Gordan,,Bonan,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Sandra,,Brown,,USA,F,SE,,
GCB,1997,3,1,Editorial Advisory Board,Doug,,Capone,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Bruce,E,Chalker,,Australia,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,James,S,Clark,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Roger,C,Dahlman,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Bert,G,Drake,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Zvy,,Dubinsky,,Israel,M,SE,,
GCB,1997,3,1,Editor,Paul,,Falkowski,,UK,M,AE,,Brookhaven National Laboratory
GCB,1997,3,1,Editor,Chris,,Field,,UK,M,AE,,Carnegie Institution
GCB,1997,3,1,Editorial Advisory Board,Inez,,Fung,,Canada,F,SE,,
GCB,1997,3,1,Editorial Advisory Board,Ilkka,,Hanski,,Finland,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Ann,,Henderson-Sellers,,Australia,F,SE,,
GCB,1997,3,1,Editorial Advisory Board,Tadaki,,Hirose,,Japan,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Patrick,,Holligan,,UK,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,R,L,Jefferies,,Canada,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Peter,,Kareiva,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Bruce,A,Kimball,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Roger,,Knowles,,Canada,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Christian,,Korner,,Switzerland,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Jeffrey,,Levinton,,USA,M,SE,,
GCB,1997,3,1,Chief Editor,Steve,,Long,,UK,M,EIC,,University of Essex
GCB,1997,3,1,Editorial Advisory Board,Pamela,,Matson,,USA,F,SE,,
GCB,1997,3,1,Editorial Advisory Board,Franco,,Miglietta,,Italy,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Hal,,Mooney,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Marianne,,Mousseau,,France,F,SE,,
GCB,1997,3,1,Editorial Advisory Board,JC,,Murrell,,UK,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Maria,,Piedade,,Brazil,F,SE,,
GCB,1997,3,1,Editor,Jim,,Prosser,,UK,M,AE,,University of Aberdeen
GCB,1997,3,1,Editorial Advisory Board,Hugo,,Rogers,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Osvaldo,,Sala,,Argentina,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,David,,Schimel,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,William,,Schlesinger,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Robert,,Scholes,,South Africa,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Hank,H,Schugart,,USA,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,E-D,,Schulze,,Germany,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Ted,,Smayda,,USA,M,SE,,
GCB,1997,3,1,Managing Editor,Harry,,Smith,,UK,M,,,University of Leichester
GCB,1997,3,1,Editorial Advisory Board,Keith,,Smith,,UK,M,SE,,
GCB,1997,3,1,Production Editor,Richard,,Spilsbury,,UK,M,,,Blackwell Science Ltd
GCB,1997,3,1,Editorial Advisory Board,Nigel,E,Stork,,Australia,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Masayuki,M,Takahashi,,Japan,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Max,,Tilzer,,Germany,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Riccardo,,Valentini,,Italy,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,Bess,B,Ward,,USA,F,SE,,
GCB,1997,3,1,Editorial Advisory Board,J,B,Whitaker,,UK,M,SE,,
GCB,1997,3,1,Editorial Advisory Board,F,Ian,Woodward,,UK,M,SE,,
GCB,1998,4,1,Editor,Dennis,,Baldocchi,,USA,M,AE,,NOAA
GCB,1998,4,1,Editor,Jeff,,Bale,,UK,M,AE,,University of Birmingham
GCB,1998,4,1,Editorial Advisory Board,Marilyn,,Ball,,Australia,F,SE,,
GCB,1998,4,1,Editorial Advisory Board,Fakhri,,Bazzaz,,USA,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Max,,Beran,,UK,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Tom,H,Blackburn,,Denmark,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Bill,,Block,,UK,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Gordan,,Bonan,,USA,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Sandra,,Brown,,USA,F,SE,,
GCB,1998,4,1,Editorial Advisory Board,Doug,,Capone,,USA,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Bruce,E,Chalker,,Australia,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,James,S,Clark,,USA,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Roger,C,Dahlman,,USA,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Bert,G,Drake,,USA,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Zvy,,Dubinsky,,Israel,M,SE,,
GCB,1998,4,1,Editor,Paul,,Falkowski,,UK,M,AE,,Brookhaven National Laboratory
GCB,1998,4,1,Editor,Chris,,Field,,UK,M,AE,,Carnegie Institution
GCB,1998,4,1,Editorial Advisory Board,Inez,,Fung,,Canada,F,SE,,
GCB,1998,4,1,Editorial Advisory Board,Ilkka,,Hanski,,Finland,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Ann,,Henderson-Sellers,,Australia,F,SE,,
GCB,1998,4,1,Editorial Advisory Board,Tadaki,,Hirose,,Japan,M,SE,,
GCB,1998,4,1,Editorial Advisory Board,Patrick,,Holligan,,UK,M,SE,,
