JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
JANE,1991,60,1,SE,Mike,E,Begon,,England,M,SE,Main editors,Liverpool
JANE,1992,61,1,SE,Mike,E,Begon,,England,M,SE,Review editor,Liverpool
JANE,1993,62,1,SE,Mike,E,Begon,,England,M,SE,Review editor,Liverpool
JANE,1987,56,1,SE,Tim,H,Clutton-Brock,,England,M,SE,Doesn't say what kinf of editor is ,Cambridge
JANE,1988,57,1,SE,Tim,H,Clutton-Brock,,England,M,SE,Doesn't say what kind of editor is ,Cambridge
JANE,1989,58,1,SE,Tim,H,Clutton-Brock,,England,M,SE,Doesn't say what kind of editor is ,Cambridge
JANE,1990,59,1,SE,Tim,H,Clutton-Brock,,England,M,SE,Doesn't say what kind of editor is ,Cambridge
JANE,1991,60,1,SE,Tim,H,Clutton-Brock,,England,M,SE,Review editor,Cambridge
JANE,1992,61,1,SE,Tim,H,Clutton-Brock,,England,M,SE,Review editor,Cambridge
JANE,1987,56,1,SE,Richard,M,Cormack,,Scotland,M,SE,Doesn't say what kinf of editor is ,St. Andrews
JANE,1988,57,1,SE,Richard,M,Cormack,,Scotland,M,SE,Doesn't say what kind of editor is ,St. Andrews
JANE,1989,58,1,SE,Richard,M,Cormack,,Scotland,M,SE,Doesn't say what kind of editor is ,St. Andrews
JANE,1990,59,1,SE,Richard,M,Cormack,,Scotland,M,SE,Doesn't say what kind of editor is ,St. Andrews
JANE,1991,60,1,SE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1992,61,1,SE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1993,62,1,SE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1994,63,1,SE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1995,64,1,SE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1996,65,1,SE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1997,66,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1998,67,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1999,68,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,2000,69,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,2001,70,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,2002,71,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,2003,72,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,2004,73,1,AE,Richard,M,Cormack,,Scotland,M,SE,Review editor,St. Andrews
JANE,1987,56,1,SE,N,B,Davies,,England,M,SE,Doesn't say what kinf of editor is ,"Dept. of Zoology, University of Cambridge"
JANE,1988,57,1,SE,N,B,Davies,,England,M,SE,Doesn't say what kind of editor is ,"Dept. of Zoology, University of Cambridge"
JANE,1989,58,1,SE,N,B,Davies,,England,M,SE,Doesn't say what kind of editor is ,"Dept. of Zoology, University of Cambridge"
JANE,1990,59,1,SE,N,B,Davies,,England,M,SE,Doesn't say what kind of editor is ,"Dept. of Zoology, University of Cambridge"
JANE,1987,56,1,SE,G,M,Dunnet,,Scotland,M,SE,Doesn't say what kinf of editor is ,University of Aberdeen
JANE,1988,57,1,SE,G,M,Dunnet,,Scotland,M,SE,Doesn't say what kind of editor is ,University of Aberdeen
JANE,1989,58,1,SE,G,M,Dunnet,,Scotland,M,SE,Doesn't say what kind of editor is ,University of Aberdeen
JANE,1990,59,1,SE,G,M,Dunnet,,Scotland,M,SE,Doesn't say what kind of editor is ,University of Aberdeen
JANE,1986,55,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Main editor.,Freshwater biological association
JANE,1987,56,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Main editors,Freshwater biological association
JANE,1988,57,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Doesn't say what kinf of editor is ,Freshwater biological association
JANE,1989,58,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Main editor.,Freshwater biological association
JANE,1990,59,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Main editor.,Freshwater biological association
JANE,1991,60,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Main editors,Freshwater biological association
JANE,1992,61,1,EIC,J,Malcolm,Elliott,,England,M,EIC,Main editors,Freshwater biological association
JANE,1991,60,1,SE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,1992,61,1,SE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,1993,62,1,SE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,1994,63,1,SE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,1995,64,1,SE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,1996,65,1,SE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,1999,68,1,AE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,2000,69,1,AE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,2001,70,1,AE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,2002,71,1,AE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,2003,72,1,AE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,2004,73,1,AE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,2005,74,1,AE,Paul,S,Giller,,Ireland,M,SE,Review editor,Cork
JANE,1994,63,1,SE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,1995,64,1,SE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,1996,65,1,SE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,1997,66,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,1998,67,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,1999,68,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,2000,69,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,2001,70,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,2002,71,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,2003,72,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,2004,73,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,2005,74,1,AE,Bryan,T,Grenfell,,England,M,SE,Review editor,Cambridge
JANE,1986,55,1,SE,M,P,Hassell,,England,M,SE,Doesn't say what kinf of editor is ,"Dept. of Biology, Imperial College at Silwood Park"
JANE,1987,56,1,SE,M,P,Hassell,,England,M,SE,Doesn't say what kinf of editor is ,"Dept. of Biology, Imperial College at Silwood Park"
JANE,1988,57,1,SE,M,P,Hassell,,England,M,SE,Doesn't say what kind of editor is ,"Dept. of Biology, Imperial College at Silwood Park"
JANE,1989,58,1,SE,M,P,Hassell,,England,M,SE,Doesn't say what kind of editor is ,"Dept. of Biology, Imperial College at Silwood Park"
JANE,1990,59,1,SE,M,P,Hassell,,England,M,SE,Doesn't say what kind of editor is ,"Dept. of Biology, Imperial College at Silwood Park"
JANE,1991,60,1,SE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1992,61,1,SE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1993,62,1,SE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1994,63,1,SE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1995,64,1,SE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1996,65,1,SE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1997,66,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1998,67,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,1999,68,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,2000,69,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,2001,70,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Game Conservancy
JANE,2002,71,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Stirling
JANE,2003,72,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Stirling
JANE,2004,73,1,AE,Pete,J,Hudson,,Scotland,M,SE,Review editor,Stirling
JANE,2005,74,1,AE,Pete,J,Hudson,,USA,M,SE,Review editor,Philadelphia
JANE,2006,75,1,AE,Pete,J,Hudson,,USA,M,SE,,Pennsylvania
JANE,1991,60,1,SE,Roger,N,Hughes,,Wales,M,SE,Review editor,Bangor
JANE,1992,61,1,SE,Roger,N,Hughes,,Wales,M,SE,Review editor,Bangor
JANE,1993,62,1,SE,Roger,N,Hughes,,Wales,M,SE,Review editor,Bangor
JANE,1994,63,1,SE,Roger,N,Hughes,,Wales,M,SE,Review editor,Bangor
JANE,1995,64,1,SE,Roger,N,Hughes,,Wales,M,SE,Review editor,Bangor
JANE,1996,65,1,SE,Roger,N,Hughes,,Wales,M,SE,Review editor,Bangor
JANE,2011,80,1,AE,James,H,Jones,,USA,M,SE,,Stanford University
JANE,2012,81,1,AE,James,H,Jones,,USA,M,SE,,Stanford University
JANE,2013,82,1,AE,James,H,Jones,,USA,M,SE,,Stanford University
JANE,2014,83,1,AE,James,H,Jones,,USA,M,SE,,Stanford University
JANE,1986,55,1,SE,R,A,Kempton,,England,M,SE,Doesn't say what kinf of editor is ,AFRC Unit of Statistics
JANE,1986,55,1,SE,C,J,Krebs,,Canada,M,SE,Doesn't say what kinf of editor is ,University of British Columbia
JANE,1987,56,1,SE,C,J,Krebs,,Canada,M,SE,Doesn't say what kinf of editor is ,University of British Columbia
JANE,1988,57,1,SE,C,J,Krebs,,Canada,M,SE,Doesn't say what kind of editor is ,University of British Columbia
JANE,1989,58,1,SE,C,J,Krebs,,Canada,M,SE,Doesn't say what kind of editor is ,University of British Columbia
JANE,1990,59,1,SE,C,J,Krebs,,Canada,M,SE,Doesn't say what kind of editor is ,University of British Columbia
JANE,1986,55,1,SE,J,R,Krebs,,USA,M,SE,Doesn't say what kinf of editor is ,Princeton University
JANE,1987,56,1,SE,J,R,Krebs,,USA,M,SE,Doesn't say what kinf of editor is ,Princeton University
JANE,1988,57,1,SE,J,R,Krebs,,USA,M,SE,Doesn't say what kind of editor is ,Princeton University
JANE,1989,58,1,SE,J,R,Krebs,,USA,M,SE,Doesn't say what kind of editor is ,Princeton University
JANE,1990,59,1,SE,J,R,Krebs,,USA,M,SE,Doesn't say what kind of editor is ,Princeton University
JANE,1986,55,1,SE,J,H,Lawton,,USA,M,SE,Doesn't say what kinf of editor is ,"Dept. of Biology, University of New York"
JANE,1991,60,1,SE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
JANE,1992,61,1,SE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
JANE,1993,62,1,SE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
JANE,1994,63,1,SE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
JANE,1995,64,1,SE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
JANE,1996,65,1,SE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
JANE,1997,66,1,AE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
JANE,1998,67,1,AE,John,H,Lawton,,USA,M,SE,Review editor,"Dept. of Biology, University of New York"
