JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
JAPE,2003,40,1,Review Board,Jan,P,Bakker,,The Netherlands,F,SE,,University of Groningen
JAPE,2004,41,1,Review Board,Jan,P,Bakker,,The Netherlands,F,SE,,University of Groningen
JAPE,2005,42,1,Editorial Board,Jan,P,Bakker,,The Netherlands,F,SE,,University of Groningen
JAPE,2006,43,1,Editorial Board,Jan,P,Bakker,,The Netherlands,F,SE,,University of Groningen
JAPE,2000,37,1,Review Board,Nigel,D,Barlow,,New Zealand,M,SE,,AgResearch
JAPE,2001,38,1,Editor,Nigel,D,Barlow,,New Zealand,M,AE,,AgResearch
JAPE,2002,39,1,Editor,Nigel,D,Barlow,,New Zealand,M,AE,,AgResearch
JAPE,1985,22,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1986,23,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1987,24,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1988,25,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1989,26,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1990,27,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1991,28,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1992,29,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1993,30,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1994,31,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1995,32,1,Review Board,B,L,Bayne,,England,,SE,,"Institute for Marine and Environmental Research, NERC"
JAPE,1985,22,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1986,23,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1987,24,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1988,25,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1989,26,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1990,27,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1991,28,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1992,29,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1993,30,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1994,31,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1995,32,1,Review Board,David,E,Bignell,,England,M,SE,,University of London
JAPE,1985,22,1,Editor,William,C,Block,,England,M,EIC,,"British Antarctic Survey, Natural Environment Resource Council (NERC)"
JAPE,1986,23,1,Editor,William,C,Block,,England,M,EIC,,"British Antarctic Survey, Natural Environment Resource Council (NERC)"
JAPE,1987,24,1,Editor,William,C,Block,,England,M,EIC,,"British Antarctic Survey, Natural Environment Resource Council (NERC)"
JAPE,1988,25,1,Editor,William,C,Block,,England,M,EIC,,"British Antarctic Survey, Natural Environment Resource Council (NERC)"
JAPE,1989,26,1,Editor,William,C,Block,,England,M,EIC,,"British Antarctic Survey, Natural Environment Resource Council (NERC)"
JAPE,1985,22,1,Review Board,Anthony,David,Bradshaw,,England,M,SE,,University of Liverpool
JAPE,1986,23,1,Review Board,Anthony,David,Bradshaw,,England,M,SE,,University of Liverpool
JAPE,1987,24,1,Review Board,Anthony,David,Bradshaw,,England,M,SE,,University of Liverpool
JAPE,1988,25,1,Review Board,Anthony,David,Bradshaw,,England,M,SE,,University of Liverpool
JAPE,2006,43,1,Associate Editors,Justin,S,Brashares,,USA,M,SE,,"University of California, Berkely"
JAPE,2007,44,1,Associate Editors,Justin,S,Brashares,,USA,M,SE,,"University of California, Berkely"
JAPE,2010,47,1,Associate Editors,Justin,S,Brashares,,USA,M,SE,,"University of California, Berkely"
JAPE,2000,37,1,Review Board,James,M,Bullock,,England,M,SE,,NERC Centre for Ecology and Hydrology
JAPE,2001,38,1,Review Board,James,M,Bullock,,England,M,SE,,NERC Centre for Ecology and Hydrology
JAPE,2002,39,1,Review Board,James,M,Bullock,,England,M,SE,,NERC Centre for Ecology and Hydrology
JAPE,2003,40,1,Review Board,James,M,Bullock,,England,M,SE,,NERC Centre for Ecology and Hydrology
JAPE,1989,26,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1990,27,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1991,28,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1992,29,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1993,30,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1994,31,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1995,32,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1996,33,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1997,34,1,Review Board,Ralph,T,Clarke,,England,M,SE,,"Institute of Terrestrial Ecology, Furzebrook Research Station"
JAPE,1985,22,1,Review Board,J,P,Cooper,,Wales,,SE,,Welsh Plant Breeding Station
JAPE,1986,23,1,Review Board,J,P,Cooper,,Wales,,SE,,Welsh Plant Breeding Station
JAPE,1987,24,1,Review Board,J,P,Cooper,,Wales,,SE,,Welsh Plant Breeding Station
JAPE,1985,22,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1986,23,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1987,24,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1988,25,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1989,26,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1990,27,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1991,28,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1992,29,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1993,30,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1994,31,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,1995,32,1,Review Board,John,Patrick,Croxall,,England,M,SE,,British Antarctic Survey
JAPE,2000,37,1,Review Board,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2001,38,1,Review Board,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2002,39,1,Review Board,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2003,40,1,Review Board,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2004,41,1,Review Board,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2005,42,1,Associate Editors,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2006,43,1,Associate Editors,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2007,44,1,Associate Editors,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2008,45,1,Associate Editors,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2009,46,1,Associate Editors,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
JAPE,2010,47,1,Associate Editors,Christopher,R,Dickman,,Australia,M,SE,,University of Sydney
