JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
JTE,1987,3,1,Editor,Adrian,,Marshall,,Scotland,M,EIC,,University of Aberdeen
JTE,1987,3,1,Deputy Editor,M,D,Swaine,,Scotland,M,AE,,University of Aberdeen
JTE,1987,3,1,Editorial Board,J,I,Furtado,,England,M,SE,,INTECOL
JTE,1987,3,1,Editorial Board,D,H,Janzen,,USA,M,SE,,University of Pennsylvania
JTE,1987,3,1,Editorial Board,E,,Medina,,Venezuela,M,SE,,IVIC Centro de Ecologia
JTE,1987,3,1,Editorial Board,M,JA,Werger,,Netherlands,M,SE,,University of Utrecht
JTE,1987,3,1,Editorial Board,D,UU,Okali,,Nigeria,M,SE,,University of Ibadan
JTE,1987,3,1,Editorial Board,M,,Gadgil,,India,M,SE,,Indian Institute of Science
JTE,1987,3,1,Editorial Board,Sanga,,Sabhasri,,Thailand,M,SE,,"Ministry of Science, Technology, and Energy"
JTE,1987,3,1,Editorial Board,J,,Kikkawa,,Australia,M,SE,,University of Queensland
JTE,1988,4,1,Editor,Adrian,,Marshall,,Scotland,M,EIC,,University of Aberdeen
JTE,1988,4,1,Deputy Editor,M,D,Swaine,,Scotland,M,AE,,University of Aberdeen
JTE,1988,4,1,Editorial Board,J,I,Furtado,,England,M,SE,,INTECOL
JTE,1988,4,1,Editorial Board,D,H,Janzen,,USA,M,SE,,University of Pennsylvania
JTE,1988,4,1,Editorial Board,E,,Medina,,Venezuela,M,SE,,IVIC Centro de Ecologia
JTE,1988,4,1,Editorial Board,M,JA,Werger,,Netherlands,M,SE,,University of Utrecht
JTE,1988,4,1,Editorial Board,C,G,Gakahu,,Kenya,M,SE,,Moi University
JTE,1988,4,1,Editorial Board,D,UU,Okali,,Nigeria,M,SE,,University of Ibadan
JTE,1988,4,1,Editorial Board,M,,Gadgil,,India,M,SE,,Indian Institute of Science
JTE,1988,4,1,Editorial Board,Sanga,,Sabhasri,,Thailand,M,SE,,"Ministry of Science, Technology, and Energy"
JTE,1988,4,1,Editorial Board,J,,Kikkawa,,Australia,M,SE,,University of Queensland
JTE,1989,5,1,Editor,Adrian,,Marshall,,Scotland,M,EIC,,University of Aberdeen
JTE,1989,5,1,Deputy Editor,M,D,Swaine,,Scotland,M,AE,,University of Aberdeen
JTE,1989,5,1,Editorial Board,J,I,Furtado,,England,M,SE,,INTECOL
JTE,1989,5,1,Editorial Board,D,,Lieberman,,USA,M,SE,,University of North Dakota
JTE,1989,5,1,Editorial Board,E,,Medina,,Venezuela,M,SE,,IVIC Centro de Ecologia
JTE,1989,5,1,Editorial Board,M,JA,Werger,,Netherlands,M,SE,,University of Utrecht
JTE,1989,5,1,Editorial Board,C,G,Gakahu,,Kenya,M,SE,,Moi University
JTE,1989,5,1,Editorial Board,D,UU,Okali,,Nigeria,M,SE,,University of Ibadan
JTE,1989,5,1,Editorial Board,P,S,Ramakrishnan,,India,M,SE,,Jawaharlal Nehru University 
JTE,1989,5,1,Editorial Board,Gong,,Wooi-Khoon,,Malaysia,M,SE,,Universiti Sains
JTE,1989,5,1,Editorial Board,J,,Kikkawa,,Australia,M,SE,,University of Queensland
