JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
JZOOL,1991,223,1,Publications Committee,A,JE,Cave,,England,M,SE,,
JZOOL,1992,226,1,Publications Committee,A,JE,Cave,,England,M,SE,,
JZOOL,1993,229,1,Publications Committee,A,JE,Cave,,England,M,SE,,
JZOOL,1994,232,1,Publications Committee,A,JE,Cave,,England,M,SE,,
JZOOL,1995,235,1,Publications Committee,A,JE,Cave,,England,M,SE,,
JZOOL,2007,,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,2008,,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,2009,,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,2010,,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,2011,,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,2012,286,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,2013,289,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,2014,292,1,Editorial Board,Gerhard,,VonDerEmde,,Germany,,SE,,Univeristy of Bonn
JZOOL,1987,211,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1988,214,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1989,216,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1990,220,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1991,223,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1992,226,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1993,229,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1994,232,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1995,235,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1996,238,1,Assistant Editor,Unity,MM,McDonnell,,England,U,Other,,
JZOOL,1997,241,1,Assistant Editor,Unity,MM,McDonnell,,,U,Other,,
JZOOL,2001,253,1,Consultant Editors,M,GL,Mills,,South Africa,M,SE,,Kruger National Park
JZOOL,2002,256,1,Consultant Editors,M,GL,Mills,,South Africa,M,SE,,Kruger National Park
JZOOL,2003,259,1,Consultant Editors,M,GL,Mills,,South Africa,M,SE,,Kruger National Park
JZOOL,2004,262,1,Consultant Editors,M,GL,Mills,,South Africa,M,SE,,Kruger National Park
JZOOL,2005,265,1,Consultant Editors,M,GL,Mills,,South Africa,M,SE,,Kruger National Park
JZOOL,2006,,1,Consultant Editors,M,GL,Mills,,South Africa,M,SE,,Kruger National Park
JZOOL,2008,,1,Editorial Board,Peter,KL,Ng,,Singapore,,SE,,National University of Singapore
JZOOL,2009,,1,Editorial Board,Peter,KL,Ng,,Singapore,,SE,,National University of Singapore
JZOOL,2010,,1,Editorial Board,Peter,KL,Ng,,Singapore,,SE,,National University of Singapore
JZOOL,2011,,1,Editorial Board,Peter,KL,Ng,,Singapore,,SE,,National University of Singapore
JZOOL,2012,286,1,Editorial Board,Peter,KL,Ng,,Singapore,,SE,,National University of Singapore
JZOOL,2013,289,1,Editorial Board,Peter,KL,Ng,,Singapore,,SE,,National University of Singapore
JZOOL,2014,292,1,Editorial Board,Peter,KL,Ng,,Singapore,,SE,,National University of Singapore
JZOOL,1995,235,1,Publications Committee,S,D,Albon,,England,M,SE,,Zoological Society of London
JZOOL,1989,216,1,Publications Committee,R,J,Berry,,England,M,SE,,University College London
JZOOL,1990,220,1,Publications Committee,R,J,Berry,,England,M,SE,,University College London
JZOOL,1991,223,1,Publications Committee,R,J,Berry,,England,M,SE,,University College London
JZOOL,1992,226,1,Publications Committee,R,J,Berry,,England,M,SE,,University College London
JZOOL,1993,229,1,Publications Committee,R,J,Berry,,England,M,SE,,University College London
JZOOL,1994,232,1,Publications Committee,R,J,Berry,,England,M,SE,,University College London
JZOOL,1995,235,1,Publications Committee,R,J,Berry,,England,M,SE,,University College London
JZOOL,1996,238,1,Editorial Board,R,J,Berry,,England,M,SE,,University of London
JZOOL,1997,241,1,Editorial Board,R,J,Berry,,England,M,SE,,University of London
JZOOL,1998,244,1,Editorial Board,R,J,Berry,,England,M,SE,,University of London
JZOOL,1999,247,1,Editorial Board,R,J,Berry,,England,M,SE,,University of London
JZOOL,2000,250,1,Editorial Board,R,J,Berry,,England,M,SE,,University of London
JZOOL,1989,216,1,Publications Committee,W,N,Bonner,,England,M,SE,,British Anarctic Society
JZOOL,1990,220,1,Publications Committee,W,N,Bonner,,England,M,SE,,
JZOOL,1991,223,1,Publications Committee,W,N,Bonner,,England,M,SE,,
JZOOL,1992,226,1,Publications Committee,W,N,Bonner,,England,M,SE,,
JZOOL,1993,229,1,Publications Committee,W,N,Bonner,,England,M,SE,,
JZOOL,1994,232,1,Publications Committee,W,N,Bonner,,England,M,SE,,
JZOOL,1993,229,1,Publications Committee,G,A,Boxshall,,England,M,SE,,"Natural History Museum, UK"
JZOOL,1994,232,1,Publications Committee,G,A,Boxshall,,England,M,SE,,"Natural History Museum, UK"
JZOOL,1995,235,1,Publications Committee,G,A,Boxshall,,England,M,SE,,"Natural History Museum, UK"
JZOOL,1995,235,1,Publications Committee,M,W,Bruford,,England,M,SE,,Zoological Society of London
JZOOL,1989,216,1,Publications Committee,P,J,Butler,,England,M,SE,,University of Birmingham
JZOOL,1989,216,1,Publications Committee,C,K,Catchpole,,England,M,SE,,Royal Holloway/University of London
JZOOL,1994,232,1,Publications Committee,C,K,Catchpole,,England,M,SE,,Royal Holloway/University of London
JZOOL,1995,235,1,Publications Committee,C,K,Catchpole,,England,M,SE,,Royal Holloway/University of London
JZOOL,1997,241,1,Editorial Board,C,K,Catchpole,,England,M,SE,,University of London
JZOOL,1998,244,1,Editorial Board,C,K,Catchpole,,England,M,SE,,University of London
JZOOL,1999,247,1,Editorial Board,C,K,Catchpole,,England,M,SE,,University of London
JZOOL,2000,250,1,Editorial Board,C,K,Catchpole,,England,M,SE,,University of London
JZOOL,1989,216,1,Publications Committee,A,JE,Cave,,England,M,SE,,
JZOOL,1990,220,1,Publications Committee,A,JE,Cave,,England,M,SE,,
JZOOL,1989,216,1,Publications Committee,M,J,Coe,,England,M,SE,,University of Oxford
JZOOL,1990,220,1,Publications Committee,M,J,Coe,,England,M,SE,,University of Oxford
JZOOL,1991,223,1,Publications Committee,M,J,Coe,,England,M,SE,,University of Oxford
JZOOL,1992,226,1,Publications Committee,M,J,Coe,,England,M,SE,,University of Oxford
JZOOL,2007,,1,Editorial Board,Steven,Le,Comber,,England,,SE,,Univerity of London
JZOOL,2008,,1,Editorial Board,Steven,Le,Comber,,England,,SE,,Univerity of London
JZOOL,2009,,1,Reviews Editor,Steven,Le,Comber,,England,M,Special,,University of London
JZOOL,2010,,1,Reviews Editor,Steven,Le,Comber,,England,M,Special,,University of London
JZOOL,2011,,1,Reviews Editor,Steven,Le,Comber,,England,M,Special,,University of London
JZOOL,2012,286,1,Reviews Editor,Steven,Le,Comber,,England,M,Special,,University of London
JZOOL,2013,289,1,Reviews Editor,Steven,Le,Comber,,England,M,Special,,University of London
