JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
LECO,1988,1,3,EIC,Frank,,Golley,,US,M,EIC,,
LECO,1988,1,3,SE,R,TT,Forman,,US,M,SE,,
LECO,1988,1,3,SE,M,,Godron,,France,M,SE,,
LECO,1988,1,3,SE,G,,Haase,,Germany,M,SE,,
LECO,1988,1,3,SE,W,,Haber,,Germany,M,SE,,
LECO,1988,1,3,SE,S,,Levin,,US,M,SE,,
LECO,1988,1,3,SE,G,,Merriam,,Canada,M,SE,,
LECO,1988,1,3,SE,Z,,Naveh,,Israel,M,SE,,
LECO,1988,1,3,SE,M,,Numata,,Japan,M,SE,,
LECO,1988,1,3,SE,A,F,Ramos,,Spain,M,SE,,
LECO,1988,1,3,SE,P,G,Risser,,US,M,SE,,
LECO,1988,1,3,SE,T,,Rosswall,,Sweden,M,SE,,
LECO,1988,1,3,SE,M,,Ruzicka,,Russia,F,SE,,
LECO,1988,1,3,SE,K,F,Schreiber,,Germany,M,SE,,
LECO,1988,1,3,SE,H,H,Shugart,,US,M,SE,,
LECO,1988,1,3,SE,C,,Steinitz,,US,M,SE,,
LECO,1988,1,3,SE,E,,VanDer,,Sweden,M,SE,,
LECO,1988,1,3,SE,I,S,Zonneveld,,Netherlands,M,SE,,
LECO,1988,1,3,SE,E,H,Zube,,US,M,SE,,
LECO,1989,2,3,EIC,Frank,,Golley,,US,M,EIC,,
LECO,1989,2,3,SE,R,TT,Forman,,US,M,SE,,
LECO,1989,2,3,SE,M,,Godron,,France,M,SE,,
LECO,1989,2,3,SE,G,,Haase,,Germany,M,SE,,
LECO,1989,2,3,SE,W,,Haber,,Germany,M,SE,,
LECO,1989,2,3,SE,S,,Levin,,US,M,SE,,
LECO,1989,2,3,SE,G,,Merriam,,Canada,M,SE,,
LECO,1989,2,3,SE,Z,,Naveh,,Israel,M,SE,,
LECO,1989,2,3,SE,M,,Numata,,Japan,M,SE,,
LECO,1989,2,3,SE,A,F,Ramos,,Spain,M,SE,,
LECO,1989,2,3,SE,P,G,Risser,,US,M,SE,,
LECO,1989,2,3,SE,T,,Rosswall,,Sweden,M,SE,,
LECO,1989,2,3,SE,M,,Ruzicka,,Russia,F,SE,,
LECO,1989,2,3,SE,K,F,Schreiber,,Germany,M,SE,,
LECO,1989,2,3,SE,H,H,Shugart,,US,M,SE,,
LECO,1989,2,3,SE,C,,Steinitz,,US,M,SE,,
LECO,1989,2,3,SE,E,,VanDer,,Sweden,M,SE,,
LECO,1989,2,3,SE,I,S,Zonneveld,,Netherlands,M,SE,,
LECO,1989,2,3,SE,E,H,Zube,,US,M,SE,,
LECO,1990,5,1,EIC,Frank,,Golley,,US,M,EIC,,
LECO,1990,5,1,SE,R,TT,Forman,,US,M,SE,,
LECO,1990,5,1,SE,M,,Godron,,France,M,SE,,
LECO,1990,5,1,SE,G,,Haase,,Germany,M,SE,,
LECO,1990,5,1,SE,W,,Haber,,Germany,M,SE,,
LECO,1990,5,1,SE,S,,Levin,,US,M,SE,,
LECO,1990,5,1,SE,G,,Merriam,,Canada,M,SE,,
LECO,1990,5,1,SE,Z,,Naveh,,Israel,M,SE,,
LECO,1990,5,1,SE,M,,Numata,,Japan,M,SE,,
LECO,1990,5,1,SE,A,F,Ramos,,Spain,M,SE,,
LECO,1990,5,1,SE,P,G,Risser,,US,M,SE,,
LECO,1990,5,1,SE,T,,Rosswall,,Sweden,M,SE,,
LECO,1990,5,1,SE,M,,Ruzicka,,Russia,F,SE,,
LECO,1990,5,1,SE,K,F,Schreiber,,Germany,M,SE,,
LECO,1990,5,1,SE,H,H,Shugart,,US,M,SE,,
LECO,1990,5,1,SE,C,,Steinitz,,US,M,SE,,
LECO,1990,5,1,SE,E,,VanDer,,Sweden,M,SE,,
LECO,1990,5,1,SE,I,S,Zonneveld,,Netherlands,M,SE,,
LECO,1990,5,1,SE,E,H,Zube,,US,M,SE,,
LECO,1991,6,1,EIC,Frank,,Golley,,US,M,EIC,,
LECO,1991,6,1,SE,R,TT,Forman,,US,M,SE,,
LECO,1991,6,1,SE,M,,Godron,,France,M,SE,,
LECO,1991,6,1,SE,G,,Haase,,Germany,M,SE,,
LECO,1991,6,1,SE,W,,Haber,,Germany,M,SE,,
LECO,1991,6,1,SE,S,,Levin,,US,M,SE,,
LECO,1991,6,1,SE,G,,Merriam,,Canada,M,SE,,
LECO,1991,6,1,SE,Z,,Naveh,,Israel,M,SE,,
LECO,1991,6,1,SE,M,,Numata,,Japan,M,SE,,
LECO,1991,6,1,SE,A,F,Ramos,,Spain,M,SE,,
LECO,1991,6,1,SE,P,G,Risser,,US,M,SE,,
LECO,1991,6,1,SE,T,,Rosswall,,Sweden,M,SE,,
LECO,1991,6,1,SE,M,,Ruzicka,,Russia,F,SE,,
LECO,1991,6,1,SE,K,F,Schreiber,,Germany,M,SE,,
LECO,1991,6,1,SE,H,H,Shugart,,US,M,SE,,
LECO,1991,6,1,SE,C,,Steinitz,,US,M,SE,,
LECO,1991,6,1,SE,E,,VanDer,,Sweden,M,SE,,
LECO,1991,6,1,SE,I,S,Zonneveld,,Netherlands,M,SE,,
LECO,1991,6,1,SE,E,H,Zube,,US,M,SE,,
LECO,1992,7,1,EIC,Frank,,Golley,,US,M,EIC,,
LECO,1992,7,1,SE,R,TT,Forman,,US,M,SE,,
LECO,1992,7,1,SE,M,,Godron,,France,M,SE,,
LECO,1992,7,1,SE,G,,Haase,,Germany,M,SE,,
LECO,1992,7,1,SE,W,,Haber,,Germany,M,SE,,
LECO,1992,7,1,SE,S,,Levin,,US,M,SE,,
LECO,1992,7,1,SE,G,,Merriam,,Canada,M,SE,,
LECO,1992,7,1,SE,Z,,Naveh,,Israel,M,SE,,
LECO,1992,7,1,SE,M,,Numata,,Japan,M,SE,,
LECO,1992,7,1,SE,A,F,Ramos,,Spain,M,SE,,
LECO,1992,7,1,SE,P,G,Risser,,US,M,SE,,
LECO,1992,7,1,SE,T,,Rosswall,,Sweden,M,SE,,
LECO,1992,7,1,SE,M,,Ruzicka,,Russia,F,SE,,
LECO,1992,7,1,SE,K,F,Schreiber,,Germany,M,SE,,
LECO,1992,7,1,SE,H,H,Shugart,,US,M,SE,,
LECO,1992,7,1,SE,C,,Steinitz,,US,M,SE,,
LECO,1992,7,1,SE,E,,VanDer,,Sweden,M,SE,,
LECO,1992,7,1,SE,I,S,Zonneveld,,Netherlands,M,SE,,
LECO,1992,7,1,SE,E,H,Zube,,US,M,SE,,
LECO,1993,8,1,EIC,Frank,,Golley,,US,M,EIC,,
LECO,1993,8,1,SE,J,,Brandt,,Denmark,M,SE,,
LECO,1993,8,1,SE,H,,Decamps,,France,M,SE,,
LECO,1993,8,1,SE,R,TT,Forman,,US,M,SE,,
LECO,1993,8,1,SE,E,,Fuentes,,Chile,M,SE,,
LECO,1993,8,1,SE,G,,Haase,,Germany,M,SE,,
LECO,1993,8,1,SE,W,,Haber,,Germany,M,SE,,
