JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
MARECOL,2005,26,1,SE,A,,Genin,,Israel,,SE,,Interuniversity Institute for Marine Sciences
MARECOL,2006,27,1,SE,A,,Genin,,Israel,,SE,,Interuniversity Institute for Marine Sciences
MARECOL,2005,26,1,SE,A,,Giangrande,,Italy,,SE,,Universita di Lecco
MARECOL,2006,27,1,SE,A,,Giangrande,,Italy,,SE,,Universita di Lecco
MARECOL,1981,2,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1982,3,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1983,4,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1984,5,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1985,6,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1986,7,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1987,8,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1988,9,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1989,10,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1990,11,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1991,12,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1992,13,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1993,14,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
MARECOL,1994,15,1,SE,A,,Zhirmunsky,,USSR,,SE,,Academy of Sciences of the USSR
