JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
MEPS,1992,80,1,EDITROAL ADVISORS,A,,Chapman,,Germany,,SE,,
MEPS,1993,92,1,EDITROAL ADVISORS,A,,Chapman,,Germany,,SE,,
MEPS,1994,103,1,EDITROAL ADVISORS,A,,Chapman,,Germany,,SE,,
MEPS,1989,11,1,EDITROAL ADVISORS,A,,Gonkov,,USSR,,SE,,
MEPS,1990,59,1,EDITROAL ADVISORS,A,,Gonkov,,USSR,,SE,,
MEPS,1989,11,1,EDITROAL ADVISORS,A,,Marineseu,,Romania,,SE,,
MEPS,1990,59,1,EDITROAL ADVISORS,A,,Marineseu,,Romania,,SE,,
MEPS,1991,69,1,EDITROAL ADVISORS,A,,Marineseu,,Romania,,SE,,
MEPS,1992,80,1,EDITROAL ADVISORS,A,,Marineseu,,Romania,,SE,,
MEPS,1989,11,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,
MEPS,1990,59,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,
MEPS,1991,69,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,
MEPS,1992,80,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,
MEPS,1993,92,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,
MEPS,1994,103,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,
MEPS,1995,116,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,
MEPS,1996,130,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,Plymouth Marine Laboratory
MEPS,1997,147,1,EDITROAL ADVISORS,A,,Southward,,UK,,SE,,Plymouth Marine Laboratory
MEPS,1989,11,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,
MEPS,1990,59,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,
MEPS,1991,69,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,
MEPS,1992,80,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,
MEPS,1993,92,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,
MEPS,1994,103,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,
MEPS,1995,116,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,
MEPS,1996,130,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,School of Biological Science
MEPS,1997,147,1,EDITROAL ADVISORS,A,,Underwood,,Australia,,SE,,School of Biological Science
MEPS,1992,80,1,EDITROAL ADVISORS,A,,Zhirmunsky,,Russia,,SE,,
MEPS,1993,92,1,EDITROAL ADVISORS,A,,Zhirmunsky,,Russia,,SE,,
MEPS,1994,103,1,EDITROAL ADVISORS,A,,Zhirmunsky,,Russia,,SE,,
MEPS,1995,116,1,EDITROAL ADVISORS,A,,Zhirmunsky,,Russia,,SE,,
MEPS,1996,130,1,EDITROAL ADVISORS,A,,Zhirmunsky,,Russia,,SE,,Inst. Of Marine Biology
MEPS,1997,147,1,EDITROAL ADVISORS,A,,Zhirmunsky,,Russia,,SE,,Inst. Of Marine Biology
MEPS,1989,11,1,EDITROAL ADVISORS,A,,Zhirmunsky,,USSR,,SE,,
MEPS,1990,59,1,EDITROAL ADVISORS,A,,Zhirmunsky,,USSR,,SE,,
MEPS,1991,69,1,EDITROAL ADVISORS,A,,Zhirmunsky,,USSR,,SE,,
MEPS,1989,11,1,EDITROAL ADVISORS,A,,Bianchi,,France,,SE,,
MEPS,1990,59,1,EDITROAL ADVISORS,A,,Bianchi,,France,,SE,,
MEPS,1991,69,1,EDITROAL ADVISORS,A,,Bianchi,,France,,SE,,
MEPS,1992,80,1,EDITROAL ADVISORS,A,,Bianchi,,France,,SE,,
MEPS,1993,92,1,EDITROAL ADVISORS,A,,Bianchi,,France,,SE,,
MEPS,1994,103,1,EDITROAL ADVISORS,A,,Bianchi,,France,,SE,,
