JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
NAJFM,2014,34,1,E,Geraldine,V,Haegen,,USA,F,AE,,Northwest Marine Technology Inc.
NAJFM,2014,34,1,E,Richard,T,Eades,,USA,M,AE,,Nebraska Game and Parks Commission
NAJFM,2014,34,1,E,Stephen,C,Riley,,USA,M,AE,,U.S. Geological Survey Great Lakes Science Center
NAJFM,2014,34,1,AE,Christopher,M,Anderson,,USA,M,SE,,University of Washington
NAJFM,2014,34,1,AE,Thomas,P,Archdeacon,,USA,M,SE,,New Mexico Fish and Wildlife Conservation Office
NAJFM,2014,34,1,AE,Robert,,Arlinghaus,,Germany,M,SE,,Leibniz Institute for Freshwater Ecology and Inland Fisheries
NAJFM,2014,34,1,AE,Michael,C,Bell,,Scotland,M,SE,International Centre for Island Technology,Heriot-Watt University
NAJFM,2014,34,1,AE,Charles,R,Bronte,,USA,M,SE,,U.S. Fish and Wildlife Service
NAJFM,2014,34,1,AE,Daniel,J,Daugherty,,USA,M,SE,,Texas Parks and Wildlife Department
NAJFM,2014,34,1,AE,Benny,J,Gallaway,,USA,M,SE,,LGL Ecological Research Associates
NAJFM,2014,34,1,AE,Mark,,Gard,,USA,M,SE,,U.S. Fish and Wildlife Service
NAJFM,2014,34,1,AE,David,R,Geist,,USA,M,SE,,Pacific Northwest National Laboratory
NAJFM,2014,34,1,AE,David,A,Hewitt,,USA,M,SE,,Western Fisheries Research Center
NAJFM,2014,34,1,AE,Andrij,Z,Horodysky,,USA,M,SE,,Hampton University
NAJFM,2014,34,1,AE,Daniel,,Isermann,,USA,M,SE,,University of Wisconsin-Stevens Point
NAJFM,2014,34,1,AE,Kevin,,Kapuscinski,,USA,M,SE,,SUNY College of Environmental Science and Forestry
NAJFM,2014,34,1,AE,Matthew,,Keefer,,USA,M,SE,,University of Idaho
NAJFM,2014,34,1,AE,Jud,,Kratzer,,USA,M,SE,,Vermont Fish and Wildlife
NAJFM,2014,34,1,AE,Christine,A,Lipsky,,USA,F,SE,,Northeast Fisheries Science Center
NAJFM,2014,34,1,AE,Ben,C,Neely,,USA,M,SE,,"Kansas Department of Wildlife, Parks, and Tourism"
NAJFM,2014,34,1,AE,Kevin,,Page,,USA,M,SE,,Ohio Division of Wildlife
NAJFM,2014,34,1,AE,Jacques,,Rinchard,,USA,M,SE,,The College at Brockport-SUNY
NAJFM,2014,34,1,AE,Patrick,,Schmalz,,USA,M,SE,,Minnesota Department of Natural Resources
NAJFM,2014,34,1,AE,Isaac,,Wirgin,,USA,M,SE,,Institute of Environmental Medicine
NAJFM,2014,34,1,AE,John,,Young,,USA,M,SE,,ASA Analysis and Communication
