JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
NEWPHYT,1985,99,1,Editor,Peter,,Ayers,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,D,,Briggs,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,J,E,Dale,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,Jeff,G,Duckett,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,D,H,Lewis,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,T,A,Mansfield,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,D,P,Stribley,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,P,J,Syrett,,UK,Unknown,SE,,
NEWPHYT,1985,99,1,Editor,R,G,West,,UK,M,SE,,
NEWPHYT,1985,99,1,Editor,M,M,Yeoman,,UK,Unknown,SE,,
NEWPHYT,1986,102,1,Editor,Peter,,Ayers,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,D,,Briggs,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,J,E,Dale,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,Jeff,G,Duckett,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,D,H,Lewis,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,T,A,Mansfield,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,D,P,Stribley,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,P,J,Syrett,,UK,Unknown,SE,,
NEWPHYT,1986,102,1,Editor,R,G,West,,UK,M,SE,,
NEWPHYT,1986,102,1,Editor,M,M,Yeoman,,UK,Unknown,SE,,
NEWPHYT,1987,105,1,Editor,Peter,,Ayers,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,D,,Briggs,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,J,E,Dale,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,Jeff,G,Duckett,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,J,F,Farrar,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,D,H,Lewis,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,T,A,Mansfield,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,D,P,Stribley,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,P,J,Syrett,,UK,Unknown,SE,,
NEWPHYT,1987,105,1,Editor,R,G,West,,UK,M,SE,,
NEWPHYT,1987,105,1,Editor,M,M,Yeoman,,UK,Unknown,SE,,
NEWPHYT,1988,108,1,Editor,Peter,,Ayers,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,D,,Briggs,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,J,E,Dale,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,Jeff,G,Duckett,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,J,F,Farrar,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,D,H,Lewis,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,T,A,Mansfield,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,D,P,Stribley,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,P,J,Syrett,,UK,Unknown,SE,,
NEWPHYT,1988,108,1,Editor,R,G,West,,UK,M,SE,,
NEWPHYT,1988,108,1,Editor,M,M,Yeoman,,UK,Unknown,SE,,
NEWPHYT,1989,111,1,Editor,Peter,,Ayers,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,D,,Briggs,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,J,E,Dale,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,Jeff,G,Duckett,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,J,F,Farrar,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,D,H,Lewis,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,T,A,Mansfield,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,D,P,Stribley,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,P,J,Syrett,,UK,Unknown,SE,,
NEWPHYT,1989,111,1,Editor,R,G,West,,UK,M,SE,,
NEWPHYT,1989,111,1,Editor,M,M,Yeoman,,UK,Unknown,SE,,
NEWPHYT,1990,114,1,Editor,Alastair,H,Fitter,,UK,M,SE,,
NEWPHYT,1990,114,1,Editor,Peter,,Ayers,,UK,M,SE,,
NEWPHYT,1990,114,1,Editor,D,,Briggs,,UK,M,SE,,
