JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
OECOL,1985,65,2,EB,Fakhri,A,Bazzaz,,USA,M,SE,Editorial Board (EB),University of Illinois 
OECOL,1986,68,2,EB,Fakhri,A,Bazzaz,,USA,M,SE,,University of Illinois 
OECOL,1987,71,2,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1988,75,1,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1990,82,1,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1990,82,1,EB,Harold,A,Mooney,,USA,M,SE,,Stanford University
OECOL,1990,82,1,EB,Joseph,A,Travis,,USA,M,SE,,Florida State University
OECOL,1991,85,3,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1991,85,3,EB,Harold,A,Mooney,,USA,M,SE,,Stanford University
OECOL,1991,85,3,EB,Patrice,A,Morrow,,USA,F,SE,,University of Minnesota
OECOL,1991,85,3,EB,Joseph,A,Travis,,USA,M,SE,,Florida State University
OECOL,1992,89,1,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1992,89,1,EB,Harold,A,Mooney,,USA,M,SE,,Stanford University
OECOL,1992,89,1,EB,Patrice,A,Morrow,,USA,F,SE,,University of Minnesota
OECOL,1992,89,1,EB,Joseph,A,Travis,,USA,M,SE,,Florida State University
OECOL,1993,93,1,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1993,93,1,EB,Harold,A,Mooney,,USA,M,SE,,Stanford University
OECOL,1993,93,1,EB,Patrice,A,Morrow,,USA,F,SE,,University of Minnesota
OECOL,1994,97,1,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1994,97,1,EB,Harold,A,Mooney,,USA,M,SE,,Stanford University
OECOL,1995,101,1,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1996,105,1,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1996,105,1,EB,Kenneth,A,Nagy,,USA,M,SE,,University of California 
OECOL,1997,109,4,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1997,109,4,EB,Kenneth,A,Nagy,,USA,M,SE,,University of California 
OECOL,1998,113,4,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1998,113,4,EB,Kenneth,A,Nagy,,USA,M,SE,,University of California 
OECOL,1998,113,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,1999,118,4,EB,Fakhri,A,Bazzaz,,USA,M,SE,,Harvard University
OECOL,1999,118,4,EB,Kenneth,A,Nagy,,USA,M,SE,,University of California 
OECOL,1999,118,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2000,122,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2001,126,4,EB,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2001,126,4,EB,Monica,A,Geber,,USA,F,SE,,Cornell University
OECOL,2001,126,4,EB,Ron,A,Moen,,USA,M,SE,,University of Minnesota
OECOL,2001,126,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2002,130,4,EB,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2002,130,4,EB,Monica,A,Geber,,USA,F,SE,,Cornell University
OECOL,2002,130,4,EB,Ron,A,Moen,,USA,M,SE,,University of Minnesota
OECOL,2002,130,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2003,134,4,EB,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2003,134,4,EB,Ron,A,Moen,,USA,M,SE,,University of Minnesota
OECOL,2003,134,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2004,138,1,EB,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2004,138,1,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2005,142,1,EB,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2005,142,1,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2006,146,4,EB,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2006,146,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2007,150,4,EB,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2007,150,4,EB,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2007,150,4,EB,John,A,Silander,,USA,M,SE,,University of Connecticut 
OECOL,2008,154,4,HE,Ross,A,Alford,,Australia,M,SE,Handling Editors (HE),James Cook University
OECOL,2008,154,4,HE,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2008,154,4,HE,Pascal,A,Niklaus,,Switzerland,M,SE,,University of Zurich
OECOL,2008,154,4,HE,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2008,154,4,HE,John,A,Silander,,USA,M,SE,,University of Connecticut 
OECOL,2009,158,4,HE,Ross,A,Alford,,Australia,M,SE,Handling Editors (HE),James Cook University
OECOL,2009,158,4,HE,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2009,158,4,HE,Pascal,A,Niklaus,,Switzerland,M,SE,,University of Zurich
OECOL,2009,158,4,HE,David,A,Pyke,,USA,M,SE,,USGS Forest and Rangeland Ecosystem Science Center
OECOL,2009,158,4,HE,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2009,158,4,HE,John,A,Silander,,USA,M,SE,,University of Connecticut 
OECOL,2009,158,4,HE,Alice,A,Winn,,USA,F,SE,,Florida State University
OECOL,2010,162,1,HE,Ross,A,Alford,,Australia,M,SE,Handling Editors (HE),James Cook University
OECOL,2010,162,1,HE,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2010,162,1,HE,Pascal,A,Niklaus,,Switzerland,M,SE,,University of Zurich
OECOL,2010,162,1,HE,David,A,Pyke,,USA,M,SE,,USGS Forest and Rangeland Ecosystem Science Center
OECOL,2010,162,1,HE,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2010,162,1,HE,John,A,Silander,,USA,M,SE,,University of Connecticut 
OECOL,2010,162,1,HE,Alice,A,Winn,,USA,F,SE,,Florida State University
OECOL,2011,165,1,HE,Ross,A,Alford,,Australia,M,SE,Handling Editors (HE),James Cook University
OECOL,2011,165,1,HE,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2011,165,1,HE,Pascal,A,Niklaus,,Switzerland,M,SE,,University of Zurich
OECOL,2011,165,1,HE,David,A,Pyke,,USA,M,SE,,USGS Forest and Rangeland Ecosystem Science Center
OECOL,2011,165,1,HE,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2011,165,1,HE,John,A,Silander,,USA,M,SE,,University of Connecticut 
OECOL,2011,165,1,HE,Alice,A,Winn,,USA,F,SE,,Florida State University
OECOL,2012,170,2,HE,Ross,A,Alford,,Australia,M,SE,Handling Editors (HE),James Cook University
OECOL,2012,170,2,HE,Mark,A,Chappell,,USA,M,SE,,"University of California, Riverside"
OECOL,2012,170,2,HE,Craig,A,Leyman,,USA,M,SE,,Florida International University
OECOL,2012,170,2,HE,Pascal,A,Niklaus,,Switzerland,M,SE,,University of Zurich
OECOL,2012,170,2,HE,David,A,Pyke,,USA,M,SE,,USGS Forest and Rangeland Ecosystem Science Center
OECOL,2012,170,2,HE,Jacqui,A,Shykoff,,France,F,SE,,University Paris-Sud 11
OECOL,2012,170,2,HE,John,A,Silander,,USA,M,SE,,University of Connecticut 
OECOL,2012,170,2,HE,Alice,A,Winn,,USA,F,SE,,Florida State University
OECOL,1985,65,2,EB,Raymond,B,Huey,,USA,M,SE,,University of Washington
OECOL,1986,68,2,EB,Raymond,B,Huey,,USA,M,SE,,University of Washington
OECOL,1990,82,1,EB,Larry,B,Crowder,,USA,M,SE,,North Carolina State University
OECOL,1991,85,3,EB,Larry,B,Crowder,,USA,M,SE,,North Carolina State University
OECOL,1992,89,1,EB,Larry,B,Crowder,,USA,M,SE,,North Carolina State University
OECOL,1993,93,1,EB,Donald,B,Miles,,USA,M,SE,,Ohio University 
OECOL,1994,97,1,EB,Donald,B,Miles,,USA,M,SE,,Ohio University 
