JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
PLANTECO,1991,91,1_2,Editor,Jelte,Van,Andel,,The Netherlands,M,SE,,University of Groningen
PLANTECO,1992,98,1,Editor,Jelte,Van,Andel,,The Netherlands,M,SE,,University of Groningen
PLANTECO,1993,104_105,1,Editor,Jelte,Van,Andel,,The Netherlands,M,SE,,University of Groningen
PLANTECO,1994,110,1,Editor,Jelte,Van,Andel,,The Netherlands,M,SE,,University of Groningen
PLANTECO,1996,122,1,Editor,Juan,J,Armesto,,Chile,M,SE,,Universidad de Chile
PLANTECO,1997,128,1_2,Editor,Juan,J,Armesto,,Chile,M,SE,,Universidad de Chile
PLANTECO,1998,134,1,Editor,Juan,J,Armesto,,Chile,M,SE,,Universidad de Chile
PLANTECO,1999,140,1,Editor,Juan,J,Armesto,,Chile,M,SE,,Universidad de Chile
PLANTECO,2000,146,1,Editor,Juan,J,Armesto,,Chile,M,SE,,Universidad de Chile
PLANTECO,1985,58,3,Editor,Mike,P,Austin,,Australia,M,SE,,CSIRO
PLANTECO,1986,64,2_3,Editor,Mike,P,Austin,,Australia,M,SE,,CSIRO
PLANTECO,1987,68,3,Editor,Mike,P,Austin,,Australia,M,SE,,CSIRO
PLANTECO,1988,73,2,Editor,Mike,P,Austin,,Australia,M,SE,,CSIRO
PLANTECO,2000,146,1,Editor,Richard,G,Baker,,United States,M,SE,,University of Iowa
PLANTECO,2001,152,1,Editorial Board,Richard,G,Baker,,United States,M,SE,,University of Iowa
PLANTECO,2002,158,1,Editorial Board,Richard,G,Baker,,United States,M,SE,,University of Iowa
PLANTECO,2003,164,1,Editorial Board,Richard,G,Baker,,United States,M,SE,,University of Iowa
PLANTECO,2004,170,1,Editorial Board,Richard,G,Baker,,United States,M,SE,,University of Iowa
PLANTECO,1985,58,3,Editor,James,S,Beard,,Australia,M,SE,,Vegetation Survey of Western Australia
PLANTECO,1986,64,2_3,Editor,James,S,Beard,,Australia,M,SE,,Vegetation Survey of Western Australia
PLANTECO,1987,68,3,Editor,James,S,Beard,,Australia,M,SE,,Vegetation Survey of Western Australia
PLANTECO,1988,73,2,Editor,James,S,Beard,,Australia,M,SE,,Vegetation Survey of Western Australia
PLANTECO,2004,170,1,Editorial Board,Edwin,,Bergmeier,,Germany,M,SE,,University of G_ttingen
PLANTECO,2005,176,1,Editorial Board,Edwin,,Bergmeier,,Germany,M,SE,,University of G_ttingen
PLANTECO,1985,58,3,Editor,Reinhard,,Bornkamm,,Germany,M,SE,,Technical University Berlin
PLANTECO,1986,64,2_3,Editor,Reinhard,,Bornkamm,,Germany,M,SE,,Technical University Berlin
PLANTECO,1987,68,3,Editor,Reinhard,,Bornkamm,,Germany,M,SE,,Technical University Berlin
PLANTECO,1988,73,2,Editor,Reinhard,,Bornkamm,,Germany,M,SE,,Technical University Berlin
PLANTECO,1989,80,1,Editor,Reinhard,,Bornkamm,,Germany,M,SE,,Technical University Berlin
PLANTECO,1990,86,1,Editor,Elgene,O,Box,,United States,M,SE,,"University of Georgia, Athens"
PLANTECO,1991,91,1_2,Editor,Elgene,O,Box,,United States,M,SE,,"University of Georgia, Athens"
PLANTECO,1992,98,1,Editor,Elgene,O,Box,,United States,M,SE,,"University of Georgia, Athens"
PLANTECO,2000,146,1,Editor,Steve,,Brewer,,United States,M,SE,,University of Mississippi
PLANTECO,2001,152,1,Editorial Board,Steve,,Brewer,,United States,M,SE,,University of Mississippi
PLANTECO,2005,176,1,Editorial Board,James,F,Cahill,,Canada,M,SE,,University of Alberta
PLANTECO,1993,104_105,1,Guest Editor,Marion,L,Cambridge,,Australia,F,Other,,University of Western Australia
PLANTECO,2005,176,1,Editorial Board,Enrique,J,Chaneton,,Argentina,M,SE,,Universidad de Buenos Aires
PLANTECO,1996,122,1,Editor,Gregory,P,Cheplick,,United States,M,SE,,College of Staten Island - CUNY
PLANTECO,1997,128,1_2,Editor,Gregory,P,Cheplick,,United States,M,SE,,College of Staten Island - CUNY
PLANTECO,1998,134,1,Editor,Gregory,P,Cheplick,,United States,M,SE,,College of Staten Island - CUNY
PLANTECO,1999,140,1,Editor,Gregory,P,Cheplick,,United States,M,SE,,College of Staten Island - CUNY
PLANTECO,1997,128,1_2,Editor,Richard,M,Cowling,,South Africa,M,SE,,University of Cape Town
PLANTECO,1998,134,1,Editor,Richard,M,Cowling,,South Africa,M,SE,,University of Cape Town
PLANTECO,1999,140,1,Editor,Richard,M,Cowling,,South Africa,M,SE,,University of Cape Town
PLANTECO,2000,146,1,Editor,Richard,M,Cowling,,South Africa,M,SE,,University of Cape Town
PLANTECO,2001,152,1,Editorial Board,Richard,M,Cowling,,South Africa,M,SE,,University of Cape Town
PLANTECO,2002,158,1,Editorial Board,Richard,M,Cowling,,South Africa,M,SE,,University of Cape Town
PLANTECO,2003,164,1,Editorial Board,Richard,M,Cowling,,South Africa,M,SE,,University of Cape Town
PLANTECO,2004,170,1,Editorial Board,Richard,M,Cowling,,South Africa,M,SE,,University of Port Elizabeth
PLANTECO,2005,176,1,Editorial Board,Richard,M,Cowling,,South Africa,M,SE,,University of Port Elizabeth
PLANTECO,2001,152,1,Editorial Board,Mick,J,Crawley,,England,M,SE,,Imperial College
PLANTECO,2002,158,1,Editorial Board,Mick,J,Crawley,,England,M,SE,,Imperial College
PLANTECO,1991,91,1_2,Editor,John,WH,Dacey,,United States,M,SE,,Woods Hole Oceanographic Institution
PLANTECO,1992,98,1,Editor,John,WH,Dacey,,United States,M,SE,,Woods Hole Oceanographic Institution
PLANTECO,1985,58,3,Editor,Michael,B,Dale,,Australia,M,SE,,CSIRO
PLANTECO,1986,64,2_3,Editor,Michael,B,Dale,,Australia,M,SE,,CSIRO
PLANTECO,1987,68,3,Editor,Michael,B,Dale,,Australia,M,SE,,CSIRO
PLANTECO,1988,73,2,Editor,Michael,B,Dale,,Australia,M,SE,,CSIRO
