JOURNAL,YEAR,VOLUME,ISSUE,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,COUNTRY,GENDER,CATEGORY,NOTES,INSTITUTION
PLANTECOL,1985,58,3,Editor,Marinus,J. A.,Werger,,Netherlands,M,SE,,Utrecht University
PLANTECOL,1985,58,3,Editor,Mike,P.,Austin,,Australia,M,SE,,CSIRO
PLANTECOL,1985,58,3,Editor,James,S.,Beard,,Australia,M,SE,,Vegetation Survey of Western Australia
PLANTECOL,1985,58,3,Editor,Michael,B.,Dale,,Australia,M,SE,,CSIRO
PLANTECOL,1985,58,3,Editor,Antoni,W.H.,Damman,,United States,M,SE,,University of Connecticut
PLANTECOL,1985,58,3,Editor-in-Chief,Eddy,,VanDerMaarel,,Sweden,M,EIC,,Uppsala University
PLANTECOL,1985,58,3,Editor,Charles,H.,Gimingham,,Scotland,M,SE,,University of Aberdeen
PLANTECOL,1985,58,3,Editor,David,C.,Glenn-Lewin,,United States,M,SE,,Iowa State University
PLANTECOL,1985,58,3,Editor,Peter,J.,Grubb,,England,M,SE,,University of Cambridge
PLANTECOL,1985,58,3,Editor,Ariel,E.,Lugo,,Puerto Rico,M,SE,,USDA Forest Service
PLANTECOL,1985,58,3,Editor,Robert,K.,Peet,,United States,M,SE,,University of North Carolina at Chapel Hill
PLANTECOL,1985,58,3,Editor,Iain,C.,Prentice,,Sweden,M,SE,,Uppsala University
PLANTECOL,1985,58,3,Editor,Argenta,A.,Titlyanova,,USSR,F,SE,,Siberian Branch of the Academy of Sciences
PLANTECOL,1985,58,3,Editor,Reinhard,,Bornkamm,,Germany,M,SE,,Technical University Berlin
PLANTECOL,1985,58,3,Editor,Jean-Marie,,Gehu,,France,M,SE,,Universite de Paris
PLANTECOL,1985,58,3,Editor,Wolfgang,,Holzner,,Austria,M,SE,,Universitat fur Bodenkultur
PLANTECOL,1985,58,3,Editor,Frank,,Klotzli,,Switzerland,M,SE,,Geobotanisches Institut
PLANTECOL,1985,58,3,Editor,James,,White,,Ireland,M,SE,,University College Dublin
PLANTECOL,1986,64,"2,3",Editor,Marinus,J. A.,Werger,,Netherlands,M,SE,,Utrecht University
PLANTECOL,1986,64,"2,3",Editor,Mike,P.,Austin,,Australia,M,SE,,CSIRO
PLANTECOL,1986,64,"2,3",Editor,James,S.,Beard,,Australia,M,SE,,Vegetation Survey of Western Australia
PLANTECOL,1986,64,"2,3",Editor,Michael,B.,Dale,,Australia,M,SE,,CSIRO
PLANTECOL,1986,64,"2,3",Editor,Antoni,W.H.,Damman,,United States,M,SE,,University of Connecticut
PLANTECOL,1986,64,"2,3",Editor-in-Chief,Eddy,,VanDerMaarel,,Sweden,M,EIC,,Uppsala University
PLANTECOL,1986,64,"2,3",Editor,Charles,H.,Gimingham,,Scotland,M,SE,,University of Aberdeen
PLANTECOL,1986,64,"2,3",Editor,David,C.,Glenn-Lewin,,United States,M,SE,,Iowa State University
PLANTECOL,1986,64,"2,3",Editor,Peter,J.,Grubb,,England,M,SE,,University of Cambridge
